排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
222,肉鸡养殖,BK1511,3272.47,10.97,0.34,68850107000,1.16,6,1,湘佳股份,0.88
223,跨境电商,BK1547,2488.52,8.19,0.33,48539062000,1.96,5,2,跨境通,1.13
224,环保设备Ⅲ,BK1387,3570.85,11.69,0.33,155241633000,1.91,14,12,法尔胜,10.01
225,环保设备Ⅱ,BK1234,3570.85,11.69,0.33,155241633000,1.91,14,12,法尔胜,10.01
226,门户网站,BK1294,3183.22,9.98,0.31,122775118000,2.32,7,1,*ST返利,2.93
227,商贸零售,BK1213,2389.71,7.43,0.31,1014188256000,1.17,60,38,狮头股份,9.99
228,防水材料,BK1465,7889.27,24.18,0.31,49119019000,2.71,2,1,凯伦股份,1.42
229,学历教育,BK1558,2379.75,7.28,0.31,12718515000,0.92,2,0,国脉科技,0.42
230,一般零售,BK0482,17939.75,54.88,0.31,512072496000,0.97,37,18,东百集团,2.89
231,非白酒,BK1279,2153.2,6.27,0.29,246488554000,0.77,11,6,ST西发,1.51
232,检测服务,BK1566,8048.44,23.39,0.29,151472798000,1.61,9,14,实朴检测,4.86
233,航运港口,BK0450,12458.14,35.11,0.28,1292585952000,0.92,18,14,唐山港,7.49
234,文化用品,BK1542,3041.48,8.56,0.28,42624386000,0.7,3,1,晨光股份,0.85
235,饮料乳品,BK1282,2334.24,6.54,0.28,465194832000,1.02,17,9,维维股份,2.58
236,原材料供应链服务,BK1490,3360.22,9.15,0.27,125817821000,1.01,7,5,厦门象屿,2.89
237,磨具磨料,BK1397,7345.28,19.96,0.27,114674926000,3.24,7,7,黄河旋风,3.16
238,商用车,BK1264,2890.85,7.73,0.27,342719184000,0.99,7,5,福田汽车,1.4
239,营销代理,BK1293,4977.19,13.04,0.26,232759468000,2.31,21,6,三人行,3.75
240,饲料,BK1258,3762.57,9.83,0.26,196723571000,2.23,9,8,天马科技,7.52
241,耐火材料,BK1467,2248.74,5.76,0.26,34846243000,0.96,4,4,中钢洛耐,3.14
242,广告营销,BK1220,5233.39,12.54,0.24,334743744000,1.55,23,7,三人行,3.75
243,计算机设备,BK0735,1651.11,3.82,0.23,1234438080000,1.43,44,44,鸿泉技术,13.34
244,煤化工,BK1419,2249.75,5.16,0.23,330303760000,4.29,6,4,江苏索普,8.7
245,渔业,BK1260,1124.35,2.51,0.22,20206564000,2.39,3,2,中水渔业,1.88
246,医疗器械,BK1041,985.01,2.16,0.22,1350927040000,1.67,69,65,海泰新光,19.99
247,汽车电子电气系统,BK1529,3923.49,8.13,0.21,483848304000,1.67,15,25,威帝股份,7.07
248,啤酒,BK1577,2720.65,5.19,0.19,177960686000,0.82,5,2,ST西发,1.51
249,氮肥,BK1432,2491.17,4.73,0.19,126581200000,7.29,3,3,华鲁恒升,2.48
250,特钢Ⅲ,BK1370,2324.56,4.34,0.19,221133934000,0.76,8,4,抚顺特钢,2.36
251,特钢Ⅱ,BK1227,2324.56,4.34,0.19,221133934000,0.76,8,4,抚顺特钢,2.36
252,通信终端及配件,BK1593,3979.73,7.07,0.18,385726080000,2.04,15,12,澄天伟业,5.96
253,半导体,BK1036,2097.89,3.7,0.18,7528115968000,1.71,72,100,锴威特,20.0
254,纺织服装设备,BK1401,3524.3,6.12,0.17,78457707000,2.6,6,7,泰坦股份,9.98
255,生活用纸,BK1495,1407.78,2.43,0.17,65279272000,1.22,4,5,洁雅股份,2.06
256,多业态零售,BK1553,1588.61,2.65,0.17,81238038000,1.0,9,4,百联股份,1.56
257,计算机,BK1207,8698.19,14.22,0.16,4515723776000,2.13,172,180,云赛智联,10.0
258,特种纸,BK1545,2526.3,3.9,0.15,73506715000,1.78,8,5,华旺科技,2.21
259,化学工程,BK1476,2790.67,4.18,0.15,88937034000,1.57,4,3,利柏特,2.13
260,汽车,BK1211,4383.45,6.52,0.15,5194267392000,1.36,158,154,华达科技,10.0
261,胶黏剂及胶带,BK1425,3027.71,4.48,0.15,22306738000,2.36,3,2,永冠新材,2.03
262,机械设备,BK1205,4677.27,6.8,0.15,5922192640000,1.93,298,294,亿利达,10.04
263,纸包装,BK1535,2165.16,3.09,0.14,130299354000,3.25,13,8,*ST集友,2.46
264,光学元件,BK1334,13354.33,19.02,0.14,323857760000,2.2,10,15,福晶科技,10.0
265,其他专用设备,BK1405,5440.63,7.62,0.14,777949984000,1.85,43,46,江顺科技,10.0
266,化学制品,BK0538,32793.81,45.52,0.14,1805446704000,2.2,92,82,山东赫达,9.99
267,电机Ⅲ,BK1307,2561.49,3.28,0.13,283762432000,3.42,8,18,祥明智能,7.66
268,电机Ⅱ,BK1030,2561.49,3.28,0.13,283762432000,3.42,8,18,祥明智能,7.66
269,酒店餐饮,BK1271,2551.51,3.26,0.13,83168425000,1.66,6,4,*ST云网,4.93
270,轻工制造,BK1212,3613.81,4.33,0.12,1134232544000,1.84,94,69,联翔股份,9.99
271,汽车零部件,BK0481,48920.86,58.33,0.12,2818339024000,1.67,129,133,华达科技,10.0
272,元件,BK0459,38889.4,43.07,0.11,1895733088000,2.36,26,35,江海股份,7.11
273,其他计算机设备,BK1446,8411.06,9.04,0.11,764011232000,1.79,32,30,鸿泉技术,13.34
274,其他通用设备,BK1398,5939.68,6.17,0.1,409472064000,2.51,26,24,航天动力,9.99
275,白酒Ⅲ,BK1575,4781.36,4.83,0.1,2848005232000,0.49,13,8,金徽酒,1.89
276,白酒Ⅱ,BK1277,4781.36,4.83,0.1,2848005232000,0.49,13,8,金徽酒,1.89
277,水务及水治理,BK1390,2157.6,2.11,0.1,309530288000,1.25,22,28,深水海纳,10.85
278,炼化及贸易,BK1274,3730.32,3.64,0.1,3631676592000,0.4,15,15,统一股份,5.49
279,物业管理,BK1343,1982.99,1.84,0.09,30307319000,2.73,4,3,皇庭国际,3.13
280,其他石化,BK1570,3372.28,2.99,0.09,123408548000,2.56,9,5,博汇股份,4.96
281,车身附件及饰件,BK1525,5534.45,4.87,0.09,524669488000,1.11,19,20,峰璟股份,5.53
282,交通运输,BK1210,2623.05,2.28,0.09,3563590976000,0.71,62,59,唐山港,7.49
283,商业物业经营,BK1554,1810.27,1.47,0.08,204340754000,0.64,8,7,锦和商管,2.26
284,航运,BK1482,1629.81,1.24,0.08,725457680000,1.51,8,9,海通发展,2.33
285,化学纤维,BK0471,19210.84,14.5,0.08,304148224000,2.23,14,12,恒申新材,4.52
286,其他橡胶制品,BK1441,4932.42,3.5,0.07,65529963000,2.26,8,7,利通科技,6.02
287,股份制银行Ⅲ,BK1610,2399.26,1.7,0.07,2960579584000,0.25,4,3,华夏银行,0.84
288,家用电器,BK0456,24169.65,15.6,0.06,1981287264000,1.4,46,59,宏昌科技,19.99
289,聚氨酯,BK1426,3854.28,2.32,0.06,290827328000,2.36,5,4,沧州大化,4.33
290,公交,BK1484,1732.42,1.04,0.06,39536658000,0.53,4,3,江西长运,1.21
291,钼,BK1623,1312.84,0.7,0.05,75017298000,0.7,1,0,金钼股份,0.05
292,航海装备Ⅲ,BK1383,5449.82,2.65,0.05,453452384000,1.35,6,3,海兰信,2.17
293,航海装备Ⅱ,BK1230,5449.82,2.65,0.05,453452384000,1.35,6,3,海兰信,2.17
294,视频媒体,BK1296,980.35,0.47,0.05,38611677000,0.75,1,0,芒果超媒,0.05
295,广告媒体,BK1292,2627.91,0.99,0.04,101984271000,0.59,2,1,华媒控股,0.24
296,端到端供应链服务,BK1491,1747.04,0.62,0.04,25601742000,1.5,4,3,畅联股份,1.12
297,铁路公路,BK0421,8946.84,2.57,0.03,841284464000,0.44,18,14,福建高速,3.24
298,垂直应用软件,BK1447,9158.82,2.39,0.03,1141414080000,2.39,48,50,云赛智联,10.0
299,环保,BK0728,582.76,0.15,0.03,973365104000,1.83,57,73,法尔胜,10.01
