排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
421,钛白粉,BK1421,2052.36,-13.02,-0.63,74073079000,2.26,2,4,安 纳 达,0.63
422,其他电源设备Ⅲ,BK1322,8909.34,-58.36,-0.65,423893248000,2.03,9,17,中远通,1.74
423,燃料电池,BK1305,392.98,-2.63,-0.66,6446259000,1.33,0,1,亿华通-U,-0.67
424,小家电,BK1244,2407.96,-16.26,-0.67,217717474000,1.0,8,13,彩虹集团,2.93
425,游戏Ⅲ,BK1301,1442.87,-9.82,-0.68,485809488000,1.31,5,19,电魂网络,2.52
426,游戏Ⅱ,BK1046,1442.87,-9.82,-0.68,485809488000,1.31,5,19,电魂网络,2.52
427,个护用品,BK1251,730.15,-5.12,-0.7,86150096000,1.12,5,7,洁雅股份,2.06
428,油田服务,BK1573,2133.97,-15.54,-0.72,209309594000,1.28,3,5,贝肯能源,1.08
429,固废治理,BK1389,3211.34,-23.52,-0.73,357135568000,2.16,11,22,中兰环保,5.45
430,配电设备,BK1310,3986.19,-29.22,-0.73,255961024000,2.72,6,20,新宏泰,9.99
431,自然景区,BK1563,3265.15,-24.4,-0.74,70194275000,1.61,2,11,ST张家界,1.09
432,快递,BK1489,5567.01,-43.24,-0.77,317596048000,0.46,0,4,韵达股份,-0.15
433,黑色家电,BK1241,4271.2,-34.66,-0.8,161190099000,1.26,2,7,*ST高斯,1.04
434,铁矿石,BK1371,2124.04,-17.34,-0.81,94891653000,1.84,1,4,广东明珠,1.47
435,白色家电,BK1239,3319.51,-27.15,-0.81,1036482624000,0.7,5,7,澳柯玛,1.88
436,乘用车,BK1262,4848.36,-41.37,-0.85,1733698320000,0.66,2,7,比亚迪,0.8
437,汽车综合服务,BK1524,1065.09,-9.22,-0.86,39498452000,0.94,2,3,浩物股份,0.62
438,电网设备,BK0457,41440.64,-368.1,-0.88,1935116304000,3.17,31,104,杭电股份,10.01
439,其他电源设备Ⅱ,BK1034,3043.87,-27.29,-0.89,701104720000,1.55,9,23,中远通,1.74
440,硅料硅片,BK1319,2177.88,-19.83,-0.9,106889158000,2.64,1,4,*ST沐邦,3.83
441,电力设备,BK1200,7037.15,-65.94,-0.93,9141931264000,3.75,101,295,科达利,10.0
442,人工景区,BK1562,3135.26,-29.66,-0.94,39587307000,0.72,1,4,中青旅,0.11
443,电池化学品,BK1302,12740.0,-123.01,-0.96,1015236880000,3.8,10,33,天赐材料,4.08
444,蓄电池及其他电池,BK1306,2658.74,-27.72,-1.03,97450355000,4.06,2,8,浙江恒威,1.94
445,医美耗材,BK1500,1642.39,-17.19,-1.04,73740667000,0.41,0,3,华熙生物,-0.48
446,核力发电,BK1376,664.34,-7.07,-1.05,529910192000,0.6,0,3,中国核电,-0.11
447,油品石化贸易,BK1571,3350.19,-35.94,-1.06,74678040000,3.53,0,6,广汇能源,-0.14
448,旅游及景区,BK1272,3431.45,-37.0,-1.07,157867511000,1.36,4,22,ST张家界,1.09
449,焦煤,BK1494,1244.56,-13.86,-1.1,212850399000,1.97,3,7,潞安环能,3.39
450,综合电力设备商,BK1323,1507.8,-16.8,-1.1,248250640000,0.89,0,2,上海电气,-0.99
451,保健品,BK1579,3897.94,-43.9,-1.11,58937561000,1.86,2,6,汤臣倍健,0.55
452,油服工程,BK1275,2355.28,-27.76,-1.16,294613696000,1.61,3,11,贝肯能源,1.08
453,其他黑色家电,BK1454,2948.05,-35.75,-1.2,47367416000,1.8,1,5,辰奕智能,0.88
454,其他专业服务,BK1567,1062.62,-12.95,-1.2,14160393000,1.89,1,3,中金辐照,3.33
455,综合乘用车,BK1520,3310.9,-41.15,-1.23,555585344000,0.48,0,6,上汽集团,-0.28
456,焦炭Ⅲ,BK1492,1002.48,-12.47,-1.23,71027262000,4.33,2,5,陕西黑猫,1.39
457,焦炭Ⅱ,BK1249,1002.48,-12.47,-1.23,71027262000,4.33,2,5,陕西黑猫,1.39
458,金融控股,BK1359,2432.24,-30.56,-1.24,301031504000,1.22,1,9,越秀资本,1.3
459,燃气Ⅲ,BK1381,2087.76,-26.25,-1.24,320854096000,2.92,8,22,ST金鸿,4.58
460,燃气Ⅱ,BK1028,2087.76,-26.25,-1.24,320854096000,2.92,8,22,ST金鸿,4.58
461,印刷包装机械,BK1406,2651.28,-35.87,-1.33,58127840000,2.27,4,8,华研精机,1.34
462,炭黑,BK1442,2057.31,-27.89,-1.34,30267236000,2.43,0,6,永东股份,-0.26
463,钴,BK1620,1181.32,-16.4,-1.37,31147667000,2.25,0,2,腾远钴业,-0.96
464,电工仪器仪表,BK1308,2892.32,-42.11,-1.44,96315024000,2.31,1,13,华盛昌,10.0
465,集成电路制造,BK1329,2835.33,-42.96,-1.49,1169128928000,1.38,0,7,芯联集成-U,-0.62
466,电网自动化设备,BK1309,7503.54,-125.67,-1.65,520604704000,1.98,4,24,红相股份,2.74
467,旅游综合,BK1561,2117.85,-36.09,-1.68,48085928000,1.71,1,7,众信旅游,0.15
468,输变电设备,BK1311,4781.25,-83.96,-1.73,659564064000,2.95,4,26,美硕科技,1.63
469,油气及炼化工程,BK1572,2137.39,-38.17,-1.75,85304105000,2.37,0,6,潜能恒信,-0.2
470,光伏电池组件,BK1315,3207.06,-59.47,-1.82,448654960000,7.04,5,18,国晟科技,10.0
471,旅游零售Ⅲ,BK1549,7671.64,-143.22,-1.83,158103369000,0.9,0,2,中国中免,-1.14
472,旅游零售Ⅱ,BK1269,7671.64,-143.22,-1.83,158103369000,0.9,0,2,中国中免,-1.14
473,保险Ⅲ,BK1358,1353.56,-25.9,-1.88,2918357856000,0.27,0,5,中国平安,-1.32
474,保险Ⅱ,BK0474,1353.56,-25.9,-1.88,2918357856000,0.27,0,5,中国平安,-1.32
475,金融信息服务,BK1360,4866.07,-94.29,-1.9,37512750000,1.77,0,3,翠微股份,-0.63
476,会展服务,BK1565,1122.13,-22.0,-1.92,15303113000,0.98,1,2,兰生股份,0.51
477,卫浴电器,BK1452,1692.53,-34.1,-1.97,19516425000,3.2,1,2,万和电气,0.22
478,光伏主材,BK1318,14662.66,-340.55,-2.27,227704923000,1.91,0,3,通威股份,-1.59
479,火电设备,BK1321,1546.96,-36.86,-2.33,28960821000,2.91,0,4,西子洁能,-0.84
480,光伏设备,BK1031,1555.33,-41.1,-2.57,1845422976000,4.83,9,60,国晟科技,10.0
481,宠物食品,BK1507,1786.14,-48.4,-2.64,36838569000,2.39,0,4,路斯股份,-0.98
482,光伏辅材,BK1316,2926.22,-79.98,-2.66,205559320000,2.8,1,17,联泓新科,2.17
483,个护小家电,BK1458,930.84,-25.76,-2.69,21365548000,1.4,1,2,彩虹集团,2.93
484,空调,BK1450,12560.64,-349.78,-2.71,789022240000,0.52,0,3,格力电器,-0.61
485,洗护用品,BK1496,622.63,-21.24,-3.3,20870823000,0.7,1,2,润本股份,1.18
486,逆变器,BK1320,23372.57,-845.84,-3.49,596761168000,4.68,1,8,德业股份,0.12
487,其他能源发电,BK1378,1871.31,-68.87,-3.55,14385577000,2.48,0,2,顺发恒能,-1.78
488,热力服务,BK1379,3326.41,-123.55,-3.58,138817948000,5.54,1,17,惠天热电,3.29
489,光伏发电,BK1375,4211.93,-166.95,-3.81,171970767000,9.56,2,11,*ST聆达,4.4
490,公用事业,BK0427,10449.07,-418.65,-3.85,4425282304000,2.95,12,129,川能动力,5.94
491,风力发电,BK1374,2475.7,-102.31,-3.97,748205440000,3.32,1,14,川能动力,5.94
492,水力发电,BK1380,4168.93,-177.18,-4.08,1154600672000,1.02,0,10,华能水电,-0.2
493,光伏加工设备,BK1317,8569.03,-366.73,-4.1,259853442000,3.29,1,10,欧普泰,0.32
494,电力,BK0428,21479.85,-1036.85,-4.6,4104428112000,2.95,4,107,川能动力,5.94
495,电能综合服务,BK1373,3888.07,-214.7,-5.23,258016693000,4.32,0,16,广西能源,-0.91
496,火力发电,BK1377,2471.94,-156.81,-5.97,1088520832000,3.0,0,34,淮河能源,-0.74
