date,action,stock,reason,price,exec_price,volume,amount,cost,capital_after,pnl
2025-10-09,买入,601825,"开仓-买入低估股(stock2), z=1.79",1.1378543530317515e-42,1.138992207384783e-42,439423550709963003829120948711767304094456217600,500499.99999999994,150.14999999999998,499349.85000000003,
2025-10-10,卖出,601825,"平仓-止损, z=2.26",1.1364530545674266e-42,1.1353166015128592e-42,439423550709963003829120948711767304094456217600,498884.85221674875,648.5503078817734,997586.1519088671,-2263.6980911329642
2025-10-13,买入,601825,"开仓-买入低估股(stock2), z=2.11",1.1602751284609485e-42,1.1614354035894093e-42,429892069319851295745776244125225997477452185600,499291.86903038784,149.78756070911635,498144.4953177701,
2025-10-17,卖出,601825,"平仓-价差回归, z=0.20",1.241550439391788e-42,1.2403088889523962e-42,429892069319851295745776244125225997477452185600,533198.9548675512,693.1586413278167,1030650.2915439934,33213.92719583562
2025-10-29,买入,601838,"开仓-买入低估股(stock1), z=-2.13",2.3920164786024627e-42,2.394408495081065e-42,215435449706047097505458054036516230053180211200,515840.47091776866,154.7521412753306,514655.0684849494,
2025-10-30,卖出,601838,"平仓-止损, z=-2.48",2.3625892108516416e-42,2.36022662164079e-42,215435449706047097505458054036516230053180211200,508476.4836413679,661.0194287337782,1022470.5326975835,-8025.006705134606
2025-10-31,买入,601838,"开仓-买入低估股(stock1), z=-2.61",2.3555827185300175e-42,2.3579383012485473e-42,217031336801377154598131222707591003639696588800,511746.5016151405,153.52395048454215,510570.5071319585,
2025-11-03,卖出,601838,"平仓-止损, z=-2.71",2.358385315458667e-42,2.3560269301432085e-42,217031336801377154598131222707591003639696588800,511331.67418902536,664.7311764457329,1021237.4501445382,-1079.5586025609337
2025-11-04,买入,601838,"开仓-买入低估股(stock1), z=-2.68",2.382207389352189e-42,2.384589596741541e-42,214346881532898513620776020858170876594277580800,511129.3437973413,153.33880313920238,509954.7675440577,
2025-11-05,卖出,601838,"平仓-止损, z=-2.73",2.390615180138138e-42,2.388224564958e-42,214346881532898513620776020858170876594277580800,511908.4878990105,665.4810342687136,1021197.7744087994,113.66306740046764
2025-11-06,买入,601838,"开仓-买入低估股(stock1), z=-2.63",2.37379959856624e-42,2.376173398164806e-42,215097722450032511145126929243864653748607385600,511109.486091604,153.33284582748118,509934.95547136787,
2025-11-07,卖出,601838,"平仓-止损, z=-2.42",2.3794047924235394e-42,2.3770253876311157e-42,215097722450032511145126929243864653748607385600,511292.74708535866,664.6805712109663,1020563.0219855155,-481.4195774563239
2025-11-10,买入,601838,"开仓-买入低估股(stock1), z=-2.74",2.3948190755311124e-42,2.3972138946066433e-42,213077270097988418938622714418153743740357836800,510791.7925037505,153.23753775112513,509617.99194401386,
2025-11-11,卖出,601838,"平仓-止损, z=-2.32",2.4004242693884116e-42,2.3980238451190233e-42,213077270097988418938622714418153743740357836800,510964.3745478429,664.2536869121958,1019918.1128049446,-491.6716428197926
2025-11-12,买入,601838,"开仓-买入低估股(stock1), z=-2.02",2.4018255678527365e-42,2.4042273934205888e-42,212321437171801923487445687376334729980254617600,510469.0154588747,153.1407046376624,509295.95664143225,
2025-11-13,卖出,601838,"平仓-止损, z=-2.10",2.390615180138138e-42,2.388224564958e-42,212321437171801923487445687376334729980254617600,507071.27192088397,659.1926534971492,1015708.0359088191,-4056.9361914878373
2025-11-14,买入,601838,"开仓-买入低估股(stock1), z=-2.10",2.390615180138138e-42,2.393005795318276e-42,212436540256999447453133954332198741521465344000,508361.87197236397,152.50856159170917,507193.65537486336,
2025-12-12,卖出,601838,"平仓-时间止损, 持仓20天",2.291122989171076e-42,2.288831866181905e-42,212436540256999447453133954332198741521465344000,486231.52288165543,632.100979746152,992793.0772767726,-22762.450070454655
2025-12-31,买入,601838,"开仓-买入低估股(stock1), z=-1.88",2.258893124491605e-42,2.2611520176160965e-42,219752113659696557807015528969353630870562406400,496892.9351770247,149.0678805531074,495751.07421919476,
2026-01-13,卖出,601838,"平仓-价差回归, z=-0.05",2.282715198385127e-42,2.280432483186742e-42,219752113659696557807015528969353630870562406400,501129.858238517,651.4688157100721,996229.4636420017,3585.454245782283
2026-01-22,买入,601825,"开仓-买入低估股(stock2), z=1.70",1.1995114854620434e-42,1.2007109969475053e-42,415264662204656228061469625053201202783505612800,498612.84655282175,149.58385396584652,497467.0332352141,
2026-01-26,卖出,601825,"平仓-止损, z=2.77",1.1770907100328463e-42,1.1759136193228134e-42,415264662204656228061469625053201202783505612800,488315.3719099428,634.8099834829256,985147.5951616741,-10932.284626361883
2026-01-27,买入,601825,"开仓-买入低估股(stock2), z=3.11",1.1658803223182478e-42,1.1670462026405659e-42,422490875050878683023370607520745144634363084800,493066.37137841777,147.9199114135253,491933.3038718428,
2026-01-28,卖出,601825,"平仓-止损, z=2.85",1.1658803223182478e-42,1.1647144419959296e-42,422490875050878683023370607520745144634363084800,492081.2237832562,639.705590918233,983374.8220641807,-1624.853186079832
2026-01-29,买入,601825,"开仓-买入低估股(stock2), z=2.59",1.1925049931404193e-42,1.1936974981335596e-42,412314760827331302863394466862072793037327564800,492179.09844312235,147.6537295329367,491048.06989152543,
2026-02-02,卖出,601825,"平仓-止损, z=2.79",1.171485516175547e-42,1.1703140306593715e-42,412314760827331302863394466862072793037327564800,482537.7496441888,627.2990745374454,972958.5204611768,-10268.647873470985
2026-02-03,买入,601825,"开仓-买入低估股(stock2), z=2.43",1.1546699346036493e-42,1.1558246045382529e-42,421314564146486391706443504298449980904754380800,486965.739490819,146.08972184724567,485846.6912485105,
2026-02-04,卖出,601825,"平仓-止损, z=2.28",1.1700842177112223e-42,1.168914133493511e-42,421314564146486391706443504298449980904754380800,492480.54867748637,640.2247132807322,977687.0152127161,4874.584473386659
2026-02-05,买入,601825,"开仓-买入低估股(stock2), z=1.81",1.202314082390693e-42,1.2035163964730837e-42,406585529327192793397606398676298496459197644800,489332.3511139644,146.7997053341893,488207.8643934175,
2026-03-02,卖出,601825,"平仓-止损, z=2.19",1.1756894115685215e-42,1.174513722156953e-42,406585529327192793397606398676298496459197644800,477540.2834252362,620.8023684528071,965127.3454502008,-12412.870057181006
