股票对,SSD距离,相关性,初始资金,最终资金,总收益率,年化收益率,交易次数,胜率,夏普比率
601860-601997,0.44015565229955356,0.9595666829785727,1000000,918855.8570332893,-0.08114414296671073,-0.08536399840462972,73,20.54794520547945,-1.3616022605036373
601077-601939,2.0605070522522384,0.9700100884323483,1000000,960926.1298446434,-0.03907387015535659,-0.04115489586630405,65,18.461538461538463,-0.735666412431736
601398-601077,2.380706604712119,0.9722776057262084,1000000,956033.0996705987,-0.04396690032940125,-0.04630218710239886,65,16.923076923076923,-0.7448080067737529
601398-600015,2.395183784152006,0.9286628700823178,1000000,939498.0312983121,-0.06050196870168788,-0.06368583984620402,61,16.39344262295082,-1.2926246595433943
