date,value
2025-09-29,1000000.0
2025-09-30,1000000.0
2025-10-09,1000000.0
2025-10-10,1000000.0
2025-10-13,1000000.0
2025-10-14,1000000.0
2025-10-15,1000000.0
2025-10-16,1000000.0
2025-10-17,1000000.0
2025-10-20,999849.85
2025-10-21,999849.85
2025-10-22,999849.85
2025-10-23,999849.85
2025-10-24,999849.85
2025-10-27,999849.85
2025-10-28,999849.85
2025-10-29,999849.85
2025-10-30,999849.85
2025-10-31,990075.8965798046
2025-11-03,990075.8965798046
2025-11-04,990075.8965798046
2025-11-05,990075.8965798046
2025-11-06,989927.2366839331
2025-11-07,989927.2366839331
2025-11-10,989927.2366839331
2025-11-11,994750.4642138199
2025-11-12,994601.1024316183
2025-11-13,994601.1024316183
2025-11-14,994601.1024316183
2025-11-17,994601.1024316183
2025-11-18,994601.1024316183
2025-11-19,994601.1024316183
2025-11-20,994601.1024316183
2025-11-21,994601.1024316183
2025-11-24,994601.1024316183
2025-11-25,994601.1024316183
2025-11-26,997762.6550985724
2025-11-27,997762.6550985724
2025-11-28,997612.8410359093
2025-12-01,992745.5983590289
2025-12-02,992596.5376074354
2025-12-03,989376.9424725901
2025-12-04,989228.3875246779
2025-12-05,982835.6133509696
2025-12-08,982688.040583625
2025-12-09,985889.5073981539
2025-12-10,985741.476088618
2025-12-11,985741.476088618
2025-12-12,985741.476088618
2025-12-15,985741.476088618
2025-12-16,988921.375987836
2025-12-17,988921.375987836
2025-12-18,988921.375987836
2025-12-19,988921.375987836
2025-12-22,988921.375987836
2025-12-23,988921.375987836
2025-12-24,988921.375987836
2025-12-25,988921.375987836
2025-12-26,988921.375987836
2025-12-29,988921.375987836
2025-12-30,988921.375987836
2025-12-31,988921.375987836
2026-01-05,988921.375987836
2026-01-06,988921.375987836
2026-01-07,988921.375987836
2026-01-08,988921.375987836
2026-01-09,988921.375987836
2026-01-12,988921.375987836
2026-01-13,988921.375987836
2026-01-14,988921.375987836
2026-01-15,988921.375987836
2026-01-16,988921.375987836
2026-01-19,988921.375987836
2026-01-20,988921.375987836
2026-01-21,988921.375987836
2026-01-22,988772.8894432315
2026-01-23,988772.8894432315
2026-01-26,980831.85292138
2026-01-27,980684.5810186638
2026-01-28,974406.954503281
2026-01-29,974260.6472990625
2026-01-30,974260.6472990625
2026-02-02,974260.6472990625
2026-02-03,974990.4492973952
2026-02-04,974844.0544814332
2026-02-05,974844.0544814332
2026-02-06,974844.0544814332
2026-02-09,974844.0544814332
2026-02-10,974844.0544814332
2026-02-11,974844.0544814332
2026-02-12,974844.0544814332
2026-02-13,974844.0544814332
2026-02-24,974844.0544814332
2026-02-25,974844.0544814332
2026-02-26,974844.0544814332
2026-02-27,974844.0544814332
2026-03-02,974844.0544814332
2026-03-03,974844.0544814332
