date,value
2025-09-29,1000000.0
2025-09-30,1000000.0
2025-10-09,1000000.0
2025-10-10,1000000.0
2025-10-13,1000000.0
2025-10-14,1000000.0
2025-10-15,1000000.0
2025-10-16,1000000.0
2025-10-17,1000000.0
2025-10-20,999849.85
2025-10-21,999849.85
2025-10-22,999849.85
2025-10-23,999849.85
2025-10-24,1008871.1021390375
2025-10-27,1008871.1021390375
2025-10-28,1008871.1021390375
2025-10-29,1008871.1021390375
2025-10-30,1008871.1021390375
2025-10-31,1008871.1021390375
2025-11-03,1008719.6201430513
2025-11-04,1011775.6949102532
2025-11-05,1011623.7767896624
2025-11-06,1011623.7767896624
2025-11-07,1015146.4613101669
2025-11-10,1015146.4613101669
2025-11-11,1015146.4613101669
2025-11-12,1015146.4613101669
2025-11-13,1015146.4613101669
2025-11-14,1015146.4613101669
2025-11-17,1015146.4613101669
2025-11-18,1015146.4613101669
2025-11-19,1015146.4613101669
2025-11-20,1015146.4613101669
2025-11-21,1015146.4613101669
2025-11-24,1015146.4613101669
2025-11-25,1015146.4613101669
2025-11-26,1015146.4613101669
2025-11-27,1015146.4613101669
2025-11-28,1014994.0370690011
2025-12-01,1011227.1165254782
2025-12-02,1011075.2807739319
2025-12-03,1011991.6925525302
2025-12-04,1011839.7419998934
2025-12-05,1005510.6192221718
2025-12-08,1005359.6418026956
2025-12-09,1003701.2028628816
2025-12-10,1003550.4971272717
2025-12-11,1002425.4419100396
2025-12-12,1002274.9277299368
2025-12-15,1002274.9277299368
2025-12-16,1002274.9277299368
2025-12-17,1002274.9277299368
2025-12-18,1002274.9277299368
2025-12-19,1002274.9277299368
2025-12-22,1002274.9277299368
2025-12-23,1009570.0298701089
2025-12-24,1009570.0298701089
2025-12-25,1009570.0298701089
2025-12-26,1009570.0298701089
2025-12-29,1009570.0298701089
2025-12-30,1009570.0298701089
2025-12-31,1009570.0298701089
2026-01-05,1009570.0298701089
2026-01-06,1009570.0298701089
2026-01-07,1009570.0298701089
2026-01-08,1009570.0298701089
2026-01-09,1009570.0298701089
2026-01-12,1009570.0298701089
2026-01-13,1009570.0298701089
2026-01-14,1009570.0298701089
2026-01-15,1009570.0298701089
2026-01-16,1009570.0298701089
2026-01-19,1009570.0298701089
2026-01-20,1009570.0298701089
2026-01-21,1009570.0298701089
2026-01-22,1009418.442930124
2026-01-23,1005410.8682961428
2026-01-26,1005259.9058542681
2026-01-27,998284.8484156765
2026-01-28,998134.9559456869
2026-01-29,996488.4348309527
2026-01-30,996338.8120924628
2026-02-02,999368.3340657566
2026-02-03,999218.2789103966
2026-02-04,990413.9581691108
2026-02-05,990265.2475132917
2026-02-06,1002240.7847501159
2026-02-09,1002090.2982962858
2026-02-10,1002090.2982962858
2026-02-11,1002090.2982962858
2026-02-12,1002090.2982962858
2026-02-13,1002090.2982962858
2026-02-24,1002090.2982962858
2026-02-25,1002090.2982962858
2026-02-26,1002090.2982962858
2026-02-27,1002090.2982962858
2026-03-02,1002090.2982962858
2026-03-03,1002090.2982962858
