date,action,stock,reason,price,exec_price,volume,amount,cost,capital_after,pnl
2024-11-01,买入,601825,"开仓-买入低估股(stock2), z=2.44",1.0944141006376821e-42,1.0955085147383197e-42,456865458612663204753134457155753207957500723200,500499.99999999994,150.14999999999998,499349.85000000003,
2024-11-04,卖出,601825,"平仓-止损, z=2.18",1.095815399102007e-42,1.0947195837029049e-42,456865458612663204753134457155753207957500723200,500139.5646606914,650.1814340588988,998839.2332266326,-1010.61677336747
2024-11-05,买入,601825,"开仓-买入低估股(stock2), z=1.86",1.1000192944949814e-42,1.1011193137894763e-42,454009869747420819405898684145328609540492492800,499919.03622992954,149.97571086897884,498770.2212858341,
2024-11-12,卖出,601825,"平仓-价差回归, z=0.10",1.0846050113874084e-42,1.083520406376021e-42,454009869747420819405898684145328609540492492800,491928.95856744976,639.5076461376847,990059.6722071462,-8629.58530861746
2024-11-20,买入,601665,"开仓-买入低估股(stock1), z=-1.56",7.328790968418793e-43,7.336119759387211e-43,675459073995634972650204229768479401540845568000,495524.8659396766,148.65745978190296,494386.1488076877,
2024-11-22,卖出,601665,"平仓-止损, z=-2.20",7.006492321624085e-43,6.999485829302461e-43,675459073995634972650204229768479401540845568000,472786.6216706209,614.6226081718072,966558.1478701368,-23352.866877227432
2024-11-25,买入,601665,"开仓-买入低估股(stock1), z=-2.64",7.034518290910582e-43,7.041552809201492e-43,687010899608465551655139030015623831644589260800,483762.35300900345,145.12870590270103,482650.6661552306,
2024-11-26,卖出,601665,"平仓-止损, z=-2.08",7.118596198770071e-43,7.111477602571301e-43,687010899608465551655139030015623831644589260800,488566.26252879633,635.1361412874353,970581.7925427395,4168.773378505439
2024-11-27,买入,601665,"开仓-买入低估股(stock1), z=-1.91",7.230700075916056e-43,7.237930775991972e-43,671153403095464940899366382412444984770402713600,485776.18716764107,145.73285615029232,484659.87251894816,
2024-11-28,卖出,601665,"平仓-止损, z=-2.25",7.20267410662956e-43,7.19547143252293e-43,671153403095464940899366382412444984770402713600,482926.51388139644,627.8044680458154,966958.5819322988,-3477.4777542904612
2024-11-29,买入,601665,"开仓-买入低估股(stock1), z=-2.38",7.20267410662956e-43,7.209876780736188e-43,671249710605593630700912258147919556625878220800,483962.7702571155,145.18883107713464,482850.6228441062,
2024-12-13,卖出,601665,"平仓-价差回归, z=-0.16",7.384842906991786e-43,7.377458064084794e-43,671249710605593630700912258147919556625878220800,495211.65905218205,643.7751567678367,977418.5067395205,10605.11363829872
2025-01-16,买入,601825,"开仓-买入低估股(stock2), z=2.89",1.1560712330679741e-42,1.157227304301042e-42,422732820773359159019405605550802089465715097600,489197.96262312995,146.75938878693898,488073.7847276036,
2025-01-17,卖出,601825,"平仓-止损, z=2.69",1.1448608453533755e-42,1.1437159845080222e-42,422732820773359159019405605550802089465715097600,483486.2842946558,628.5321695830526,970931.5368526763,-6340.210498057232
2025-01-20,买入,601825,"开仓-买入低估股(stock2), z=2.74",1.1364530545674266e-42,1.137589507621994e-42,427176262561169516928109566344357418602646732800,485951.23419476446,145.78537025842934,484834.5172876534,
2025-01-21,卖出,601825,"平仓-止损, z=2.52",1.1308478607101274e-42,1.1297170128494172e-42,427176262561169516928109566344357418602646732800,482588.29130078276,627.3647786910176,966795.4438097451,-3990.3076726726913
2025-01-22,买入,601825,"开仓-买入低估股(stock2), z=1.82",1.1126309806739048e-42,1.1137436116545785e-42,434463654438316541173770429102991090078711808000,483881.11962677736,145.1643358880332,482769.1598470797,
2025-01-27,卖出,601825,"平仓-止损, z=2.21",1.1700842177112223e-42,1.168914133493511e-42,434463654438316541173770429102991090078711808000,507850.70616218896,660.2059180108456,989959.6600912579,23309.380617400722
2025-02-05,买入,601825,"开仓-买入低估股(stock2), z=1.90",1.1462621438177004e-42,1.1474084059615179e-42,431820794846339934309056369263752667344981196800,495474.80987567455,148.64244296270235,494336.20777262066,
2025-02-06,卖出,601825,"平仓-止损, z=2.99",1.14906474074635e-42,1.1479156760056036e-42,431820794846339934309056369263752667344981196800,495693.85962931335,644.4020175181073,989385.6653844159,-425.3522638792842
2025-02-07,买入,601825,"开仓-买入低估股(stock2), z=3.58",1.1308478607101274e-42,1.1319787085708374e-42,437453038449894172648019076245779003049875865600,495187.52552490006,148.55625765747,494049.58360185835,
2025-02-10,卖出,601825,"平仓-止损, z=2.26",1.1294465622458026e-42,1.1283171156835567e-42,437453038449894172648019076245779003049875865600,493585.7505907926,641.6614757680304,986993.672716883,-2243.4364098754786
2025-02-11,买入,601825,"开仓-买入低估股(stock2), z=2.14",1.1448608453533755e-42,1.1460057061987288e-42,431053990850842303120756904038092520643834675200,493990.3331947999,148.19709995843996,492855.1424221247,
2025-02-18,卖出,601825,"平仓-止损, z=2.46",1.1308478607101274e-42,1.1297170128494172e-42,431053990850842303120756904038092520643834675200,486969.02692083357,633.0597349970836,979191.1096079611,-7654.3660089633995
2025-02-19,买入,601825,"开仓-买入低估股(stock2), z=2.13",1.1280452637814777e-42,1.1291733090452591e-42,434021196244146351543588118020966027216761651200,490085.15035878454,147.02554510763534,488958.933704069,
