date,value
2024-10-08,1000000.0
2024-10-09,1000000.0
2024-10-10,999849.85
2024-10-11,1015616.7321695761
2024-10-14,1015464.2373172408
2024-10-15,1031259.5114805084
2024-10-16,1031104.6678648596
2024-10-17,1044460.6715297182
2024-10-18,1044303.845759888
2024-10-21,1044303.845759888
2024-10-22,1044303.845759888
2024-10-23,1044303.845759888
2024-10-24,1044303.845759888
2024-10-25,1044303.845759888
2024-10-28,1044303.845759888
2024-10-29,1044303.845759888
2024-10-30,1044303.845759888
2024-10-31,1044303.845759888
2024-11-01,1044303.845759888
2024-11-04,1044303.845759888
2024-11-05,1044303.845759888
2024-11-06,1044303.845759888
2024-11-07,1044303.845759888
2024-11-08,1044303.845759888
2024-11-11,1044303.845759888
2024-11-12,1044303.845759888
2024-11-13,1044303.845759888
2024-11-14,1044303.845759888
2024-11-15,1041322.6382592908
2024-11-18,1041322.6382592908
2024-11-19,1041322.6382592908
2024-11-20,1041322.6382592908
2024-11-21,1041322.6382592908
2024-11-22,1041322.6382592908
2024-11-25,1041322.6382592908
2024-11-26,1041322.6382592908
2024-11-27,1041322.6382592908
2024-11-28,1041322.6382592908
2024-11-29,1041322.6382592908
2024-12-02,1041166.2836651562
2024-12-03,1041166.2836651562
2024-12-04,1041166.2836651562
2024-12-05,1041168.8592146419
2024-12-06,1041012.5277104308
2024-12-09,1045304.7210347214
2024-12-10,1045147.768530858
2024-12-11,1045125.0033116867
2024-12-12,1044968.0777924394
2024-12-13,1046651.8909808632
2024-12-16,1046494.7361994325
2024-12-17,1044768.4409030433
2024-12-18,1044611.5689216417
2024-12-19,1046362.9361992648
2024-12-20,1046205.8248043945
2024-12-23,1046205.8248043945
2024-12-24,1046205.8248043945
2024-12-25,1046205.8248043945
2024-12-26,1046205.8248043945
2024-12-27,1046205.8248043945
2024-12-30,1046205.8248043945
2024-12-31,1046205.8248043945
2025-01-02,1046205.8248043945
2025-01-03,1046205.8248043945
2025-01-06,1046205.8248043945
2025-01-07,1046205.8248043945
2025-01-08,1046205.8248043945
2025-01-09,1046205.8248043945
2025-01-10,1046205.8248043945
2025-01-13,1046205.8248043945
2025-01-14,1046205.8248043945
2025-01-15,1046205.8248043945
2025-01-16,1046205.8248043945
2025-01-17,1046205.8248043945
2025-01-20,1031408.7498971041
2025-01-21,1031253.883873307
2025-01-22,1031253.883873307
2025-01-23,1031253.883873307
2025-01-24,1031253.883873307
2025-01-27,1031253.883873307
2025-02-05,1031253.883873307
2025-02-06,1031253.883873307
2025-02-07,1031253.883873307
2025-02-10,1031253.883873307
2025-02-11,1031253.883873307
2025-02-12,1031253.883873307
2025-02-13,1031253.883873307
2025-02-14,1031253.883873307
2025-02-17,1031253.883873307
2025-02-18,1026918.673920085
2025-02-19,1026918.673920085
2025-02-20,1026918.673920085
2025-02-21,1026918.673920085
2025-02-24,1026918.673920085
2025-02-25,1026918.673920085
2025-02-26,1026918.673920085
2025-02-27,1026918.673920085
2025-02-28,1026918.673920085
2025-03-03,1026918.673920085
2025-03-04,1026918.673920085
2025-03-05,1026764.4820811958
2025-03-06,1026764.4820811958
2025-03-07,1026764.4820811958
2025-03-10,1026764.4820811958
2025-03-11,1021358.5667520023
2025-03-12,1021205.2097632044
2025-03-13,1021205.2097632044
2025-03-14,1021205.2097632044
2025-03-17,1026940.6133447336
2025-03-18,1026786.4182116399
2025-03-19,1026786.4182116399
2025-03-20,1026786.4182116399
2025-03-21,1026786.4182116399
2025-03-24,1026786.4182116399
