date,value
2025-09-29,1000000.0
2025-09-30,1000000.0
2025-10-09,1000000.0
2025-10-10,1000000.0
2025-10-13,1000000.0
2025-10-14,1000000.0
2025-10-15,1000000.0
2025-10-16,1000000.0
2025-10-17,1000000.0
2025-10-20,999849.85
2025-10-21,999849.85
2025-10-22,999849.85
2025-10-23,999849.85
2025-10-24,999849.85
2025-10-27,999849.85
2025-10-28,999849.85
2025-10-29,999849.85
2025-10-30,993581.5125
2025-10-31,993581.5125
2025-11-03,993581.5125
2025-11-04,993581.5125
2025-11-05,993581.5125
2025-11-06,993581.5125
2025-11-07,993581.5125
2025-11-10,993581.5125
2025-11-11,993432.3262358981
2025-11-12,991793.5625682563
2025-11-13,991644.6447648366
2025-11-14,985483.6148388204
2025-11-17,985335.6444740524
2025-11-18,985335.6444740524
2025-11-19,985335.6444740524
2025-11-20,973154.2125561668
2025-11-21,973008.0934511515
2025-11-24,959453.2711141456
2025-11-25,959309.2092054879
2025-11-26,959309.2092054879
2025-11-27,956212.1023960039
2025-11-28,956068.5271488291
2025-12-01,951472.3668897795
2025-12-02,951329.5033138909
2025-12-03,949760.1923655614
2025-12-04,949617.5858726776
2025-12-05,949617.5858726776
2025-12-08,949617.5858726776
2025-12-09,945108.3132515382
2025-12-10,944966.4052383035
2025-12-11,944966.4052383035
2025-12-12,944966.4052383035
2025-12-15,944966.4052383035
2025-12-16,944966.4052383035
2025-12-17,944966.4052383035
2025-12-18,944966.4052383035
2025-12-19,944966.4052383035
2025-12-22,944966.4052383035
2025-12-23,944966.4052383035
2025-12-24,944966.4052383035
2025-12-25,944966.4052383035
2025-12-26,944966.4052383035
2025-12-29,944966.4052383035
2025-12-30,944966.4052383035
2025-12-31,944966.4052383035
2026-01-05,944966.4052383035
2026-01-06,944966.4052383035
2026-01-07,944966.4052383035
2026-01-08,944966.4052383035
2026-01-09,932963.6817446853
2026-01-12,932963.6817446853
2026-01-13,932963.6817446853
2026-01-14,932963.6817446853
2026-01-15,932963.6817446853
2026-01-16,932963.6817446853
2026-01-19,932963.6817446853
2026-01-20,932823.5972478713
2026-01-21,932823.5972478713
2026-01-22,926995.3247600795
2026-01-23,926856.1364120668
2026-01-26,921545.6247781683
2026-01-27,921407.2547026079
2026-01-28,915509.0783413777
2026-01-29,915371.6146532646
2026-01-30,924291.1193671841
2026-02-02,924291.1193671841
2026-02-03,924152.3370556112
2026-02-04,924152.3370556112
2026-02-05,924152.3370556112
2026-02-06,924152.3370556112
2026-02-09,924152.3370556112
2026-02-10,924152.3370556112
2026-02-11,924152.3370556112
2026-02-12,924152.3370556112
2026-02-13,924152.3370556112
2026-02-24,924152.3370556112
2026-02-25,924152.3370556112
2026-02-26,924152.3370556112
2026-02-27,924152.3370556112
2026-03-02,924152.3370556112
2026-03-03,924152.3370556112
