date,value
2025-09-29,1000000.0
2025-09-30,1000000.0
2025-10-09,1000000.0
2025-10-10,999849.85
2025-10-13,997586.1519088671
2025-10-14,997436.364348158
2025-10-15,997436.364348158
2025-10-16,997436.364348158
2025-10-17,997436.364348158
2025-10-20,1030650.2915439934
2025-10-21,1030650.2915439934
2025-10-22,1030650.2915439934
2025-10-23,1030650.2915439934
2025-10-24,1030650.2915439934
2025-10-27,1030650.2915439934
2025-10-28,1030650.2915439934
2025-10-29,1030650.2915439934
2025-10-30,1030495.5394027181
2025-10-31,1022470.5326975835
2025-11-03,1022317.008747099
2025-11-04,1021237.4501445382
2025-11-05,1021084.1113413989
2025-11-06,1021197.7744087994
2025-11-07,1021044.4415629718
2025-11-10,1020563.0219855155
2025-11-11,1020409.7844477643
2025-11-12,1019918.1128049446
2025-11-13,1019764.972100307
2025-11-14,1015708.0359088191
2025-11-17,1015555.5273472273
2025-11-18,1015555.5273472273
2025-11-19,1015555.5273472273
2025-11-20,1015555.5273472273
2025-11-21,1015555.5273472273
2025-11-24,1015555.5273472273
2025-11-25,1015555.5273472273
2025-11-26,1015555.5273472273
2025-11-27,1015555.5273472273
2025-11-28,1015555.5273472273
2025-12-01,1015555.5273472273
2025-12-02,1015555.5273472273
2025-12-03,1015555.5273472273
2025-12-04,1015555.5273472273
2025-12-05,1015555.5273472273
2025-12-08,1015555.5273472273
2025-12-09,1015555.5273472273
2025-12-10,1015555.5273472273
2025-12-11,1015555.5273472273
2025-12-12,1015555.5273472273
2025-12-15,992793.0772767726
2025-12-16,992793.0772767726
2025-12-17,992793.0772767726
2025-12-18,992793.0772767726
2025-12-19,992793.0772767726
2025-12-22,992793.0772767726
2025-12-23,992793.0772767726
2025-12-24,992793.0772767726
2025-12-25,992793.0772767726
2025-12-26,992793.0772767726
2025-12-29,992793.0772767726
2025-12-30,992793.0772767726
2025-12-31,992793.0772767726
2026-01-05,992644.0093962194
2026-01-06,992644.0093962194
2026-01-07,992644.0093962194
2026-01-08,992644.0093962194
2026-01-09,992644.0093962194
2026-01-12,992644.0093962194
2026-01-13,992644.0093962194
2026-01-14,996229.4636420017
2026-01-15,996229.4636420017
2026-01-16,996229.4636420017
2026-01-19,996229.4636420017
2026-01-20,996229.4636420017
2026-01-21,996229.4636420017
2026-01-22,996229.4636420017
2026-01-23,996079.8797880359
2026-01-26,996079.8797880359
2026-01-27,985147.5951616741
2026-01-28,984999.6752502606
2026-01-29,983374.8220641807
2026-01-30,983227.1683346478
2026-02-02,983227.1683346478
2026-02-03,972958.5204611768
2026-02-04,972812.4307393294
2026-02-05,977687.0152127161
2026-02-06,977540.2155073818
2026-02-09,977540.2155073818
2026-02-10,977540.2155073818
2026-02-11,977540.2155073818
2026-02-12,977540.2155073818
2026-02-13,977540.2155073818
2026-02-24,977540.2155073818
2026-02-25,977540.2155073818
2026-02-26,977540.2155073818
2026-02-27,977540.2155073818
2026-03-02,977540.2155073818
2026-03-03,965127.3454502008
