date,value
2025-09-29,1000000.0
2025-09-30,999849.85
2025-10-09,999849.85
2025-10-10,999849.85
2025-10-13,992069.1006637168
2025-10-14,991920.1414882522
2025-10-15,1004473.0636176874
2025-10-16,1004322.2419871853
2025-10-17,1004322.2419871853
2025-10-20,1003752.1982833794
2025-10-21,1003601.4848908072
2025-10-22,1003601.4848908072
2025-10-23,1003601.4848908072
2025-10-24,1003601.4848908072
2025-10-27,1003601.4848908072
2025-10-28,1003601.4848908072
2025-10-29,1003601.4848908072
2025-10-30,1003601.4848908072
2025-10-31,1003601.4848908072
2025-11-03,1003601.4848908072
2025-11-04,1003601.4848908072
2025-11-05,1003601.4848908072
2025-11-06,1003601.4848908072
2025-11-07,1003601.4848908072
2025-11-10,1015122.8524276367
2025-11-11,1015122.8524276367
2025-11-12,1015122.8524276367
2025-11-13,1015122.8524276367
2025-11-14,1015122.8524276367
2025-11-17,1015122.8524276367
2025-11-18,1015122.8524276367
2025-11-19,1015122.8524276367
2025-11-20,1015122.8524276367
2025-11-21,1015122.8524276367
2025-11-24,1014970.4317313447
2025-11-25,1014970.4317313447
2025-11-26,1011596.8277984404
2025-11-27,1011444.9365347464
2025-11-28,1011444.9365347464
2025-12-01,1011444.9365347464
2025-12-02,1011444.9365347464
2025-12-03,1011444.9365347464
2025-12-04,1011444.9365347464
2025-12-05,1011444.9365347464
2025-12-08,1005535.8228775298
2025-12-09,1005384.8416737247
2025-12-10,1001153.9909137964
2025-12-11,1001003.6676420607
2025-12-12,1001003.6676420607
2025-12-15,1001003.6676420607
2025-12-16,1001003.6676420607
2025-12-17,1001003.6676420607
2025-12-18,1001003.6676420607
2025-12-19,1001003.6676420607
2025-12-22,1001003.6676420607
2025-12-23,1001003.6676420607
2025-12-24,1001003.6676420607
2025-12-25,1001003.6676420607
2025-12-26,1001003.6676420607
2025-12-29,1001003.6676420607
2025-12-30,1001003.6676420607
2025-12-31,1001003.6676420607
2026-01-05,1001003.6676420607
2026-01-06,1001003.6676420607
2026-01-07,1001003.6676420607
2026-01-08,1001003.6676420607
2026-01-09,998474.68791151
2026-01-12,998474.68791151
2026-01-13,998474.68791151
2026-01-14,998474.68791151
2026-01-15,998474.68791151
2026-01-16,998474.68791151
2026-01-19,998474.68791151
2026-01-20,998474.68791151
2026-01-21,998324.7669371201
2026-01-22,990376.2550430205
2026-01-23,990227.5500483257
2026-01-26,984025.5804093104
2026-01-27,983877.828968412
2026-01-28,983287.7181194024
2026-01-29,983140.0774685268
2026-01-30,990991.175829489
2026-02-02,990842.3785044382
2026-02-03,986395.4111215526
2026-02-04,986247.3038505727
2026-02-05,986247.3038505727
2026-02-06,986247.3038505727
2026-02-09,986247.3038505727
2026-02-10,986247.3038505727
2026-02-11,986247.3038505727
2026-02-12,986247.3038505727
2026-02-13,986247.3038505727
2026-02-24,986247.3038505727
2026-02-25,986247.3038505727
2026-02-26,986247.3038505727
2026-02-27,986247.3038505727
2026-03-02,986247.3038505727
2026-03-03,986247.3038505727
