date,action,stock,reason,price,exec_price,volume,amount,cost,capital_after,pnl
2025-03-31,买入,601398,"开仓-买入低估股(stock1), z=-1.76",9.65494641919799e-43,9.664601365617187e-43,517869264407097191495557287959086063584228147200,500499.99999999994,150.14999999999998,499349.85000000003,
2025-04-01,卖出,601398,"平仓-止损, z=-2.14",9.528829557408756e-43,9.519300727851348e-43,517869264407097191495557287959086063584228147200,492975.3265602322,640.8679245283018,991684.308635704,-8165.541364296018
2025-04-02,买入,601398,"开仓-买入低估股(stock1), z=-2.19",9.598894480624997e-43,9.608493375105621e-43,516561730435406428652798010243235637658386432000,496337.9964721698,148.90139894165094,495197.4107645925,
2025-04-23,卖出,601398,"平仓-价差回归, z=-0.16",9.96323208134945e-43,9.9532688492681e-43,516561730435406428652798010243235637658386432000,514147.7780266756,668.3921114346783,1008676.7966798334,17141.38944307109
2025-04-30,买入,600015,"开仓-买入低估股(stock2), z=2.60",1.018743983564142e-42,1.0197627275477061e-42,495059020201970729123407433254928970226126028800,504842.7367382566,151.45282102147695,503682.60712055536,
2025-05-06,卖出,600015,"平仓-止损, z=2.68",1.0089348943138683e-42,1.0079259594195544e-42,495059020201970729123407433254928970226126028800,498982.8379063759,648.6776892782887,1002016.767337653,-6508.576521159001
2025-05-07,买入,600015,"开仓-买入低估股(stock2), z=2.94",1.0159413866354924e-42,1.0169573280221277e-42,493146937667361972986696760745757013105757388800,501509.3920524952,150.45281761574856,500356.922467542,
2025-05-08,卖出,600015,"平仓-止损, z=2.57",1.0201452820284668e-42,1.0191251367464384e-42,493146937667361972986696760745757013105757388800,502578.44028633763,653.351972372239,1002282.0107815075,415.69626147016686
2025-05-09,买入,600015,"开仓-买入低估股(stock2), z=2.47",1.0271517743500909e-42,1.028178926124441e-42,487893822417665894418030987697852111181053952000,501642.1463961444,150.4926439188433,500489.3717414442,
2025-05-12,卖出,600015,"平仓-止损, z=2.12",1.0327569682073902e-42,1.0317242112391828e-42,487893822417665894418030987697852111181053952000,503371.8691023363,654.3834298330371,1003206.8574139475,1075.3392763588458
2025-05-13,买入,600015,"开仓-买入低估股(stock2), z=1.84",1.049572549779288e-42,1.0506221223290671e-42,477912106992941718166863348950805108612713676800,502105.03213568067,150.6315096407042,500951.1937686261,
