date,action,stock,reason,price,exec_price,volume,amount,cost,capital_after,pnl
2025-09-29,买入,601577,"开仓-买入低估股(stock2), z=1.50",1.248556931713412e-42,1.2498054886451252e-42,400462315574062769197080442914487703066535526400,500499.9999999999,150.14999999999995,499349.8500000001,
2025-10-27,卖出,601577,"轮动-卖出高估股, z从1.50到-1.07",1.3354374365015507e-42,1.3341019990650492e-42,400462315574062769197080442914487703066535526400,534257.5757575757,694.5348484848485,1032912.890909091,33063.040909091
2025-10-27,买入,601838,"轮动-买入低估股, z=-1.07",2.5167320419273715e-42,2.5192487739692986e-42,198640505493443743739583104573162082336663142400,500424.8499249999,150.12745497749995,532337.9135291136,
2025-10-29,卖出,601838,"平仓-止损, z=-3.54",2.3920164786024627e-42,2.38962446212386e-42,198640505493443743739583104573162082336663142400,474676.21109578223,617.0790744245169,1006397.0455504714,-26365.717903642202
2025-10-30,买入,601838,"开仓-买入低估股(stock1), z=-4.16",2.3625892108516416e-42,2.364951800062493e-42,212986041104389842374077557290113989506341273600,503701.7212980109,151.11051638940324,502544.2137360711,
2025-10-31,卖出,601838,"平仓-止损, z=-4.81",2.3555827185300175e-42,2.3532271358114874e-42,212986041104389842374077557290113989506341273600,501204.53147591103,651.5658909186843,1003097.1793210634,-3148.7557130185523
2025-11-03,买入,601838,"开仓-买入低估股(stock1), z=-4.37",2.358385315458667e-42,2.3607437007741255e-42,212666092505324475352902119594915845125649203200,502050.1382501922,150.61504147505767,500896.4260293962,
2025-11-04,卖出,601838,"平仓-止损, z=-3.76",2.382207389352189e-42,2.3798251819628368e-42,212666092505324475352902119594915845125649203200,506108.1222938093,657.9405589819521,1006346.6077642236,3400.0434846351336
2025-11-05,买入,601838,"开仓-买入低估股(stock1), z=-3.03",2.390615180138138e-42,2.393005795318276e-42,210478586458669063599064965617651142668111052800,503676.47718599386,151.10294315579816,502519.02763507393,
2025-11-06,卖出,601838,"平仓-止损, z=-3.09",2.37379959856624e-42,2.371425798967674e-42,210478586458669063599064965617651142668111052800,499134.3500583359,648.8746550758367,1001004.503038334,-5191.001782733781
2025-11-07,买入,601838,"开仓-买入低估股(stock1), z=-2.41",2.3794047924235394e-42,2.3817841972159627e-42,210347668926639902285910288168005207062059417600,501002.7537706861,150.3008261312058,499851.44844151667,
2025-11-10,卖出,601838,"平仓-止损, z=-2.43",2.3948190755311124e-42,2.3924242564555812e-42,210347668926639902285910288168005207062059417600,503240.8654289812,654.2131250576756,1002438.1007454402,1583.8985332374202
2025-11-11,买入,601838,"开仓-买入低估股(stock1), z=-2.04",2.4004242693884116e-42,2.4028246936577997e-42,208804358781300927427638669348465676287318425600,501720.2694230927,150.5160808269278,500567.3152415206,
2025-11-12,卖出,601838,"平仓-止损, z=-2.05",2.4018255678527365e-42,2.3994237422848838e-42,208804358781300927427638669348465676287318425600,501010.13595242467,651.313176738152,1000926.1380172072,-1361.4466474062378
2025-11-13,买入,601838,"开仓-买入低估股(stock1), z=-1.80",2.390615180138138e-42,2.393005795318276e-42,209344888782846715133367553234505511328546816000,500963.5320776122,150.28905962328363,499812.3168799717,
2025-12-05,卖出,601838,"平仓-价差回归, z=-0.25",2.375200897030565e-42,2.3728256961335345e-42,209344888782846715133367553234505511328546816000,496738.9314581556,645.7606108956023,995905.4877272318,-4870.36123035212
2025-12-24,买入,601838,"开仓-买入低估股(stock1), z=-1.52",2.3037346753499993e-42,2.306038410025349e-42,216150214341833210619278106417960294875031142400,498450.6966074794,149.5352089822438,497305.25591077015,
2025-12-29,卖出,601838,"平仓-止损, z=-3.01",2.2658996168132292e-42,2.263633717196416e-42,216150214341833210619278106417960294875031142400,489284.91316340596,636.0703871124277,985954.0986870637,-9801.853831185877
2025-12-30,买入,601838,"开仓-买入低估股(stock1), z=-2.53",2.258893124491605e-42,2.2611520176160965e-42,218238323893470204390816617319232217591211622400,493470.0263928753,148.04100791786257,492336.03128627053,
2025-12-31,卖出,601838,"平仓-止损, z=-2.06",2.258893124491605e-42,2.2566342313671134e-42,218238323893470204390816617319232217591211622400,492484.07229418826,640.2292939824447,984179.8742864763,-1626.1833926694876
2026-01-05,买入,601838,"开仓-买入低估股(stock1), z=-1.62",2.275708706063503e-42,2.277984414769566e-42,216235907448124218679650023509731792387257139200,492582.02708038135,147.7746081241144,491450.07259797084,
2026-01-08,卖出,601838,"平仓-价差回归, z=-0.27",2.274307407599178e-42,2.272033100191579e-42,216235907448124218679650023509731792387257139200,491295.139172101,638.6836809237313,982106.5280891481,-1925.5715892040612
2026-01-30,买入,601838,"开仓-买入低估股(stock1), z=-1.62",2.258893124491605e-42,2.2611520176160965e-42,217386674349673949971607549259533650138601881600,491544.31730861857,147.46329519258555,490414.74748533696,
2026-03-02,卖出,601838,"轮动-卖出高估股, z从-1.62到1.47",2.3457736292797438e-42,2.343427855650464e-42,217386674349673949971607549259533650138601881600,509429.9881182421,662.2589845537148,999182.4766190255,17223.41182506986
2026-03-02,买入,601577,"轮动-买入低估股, z=1.47",1.3704698981096711e-42,1.3718403680077805e-42,358256341911777931337434498642256701682823987200,491470.51192937465,147.4411535788124,507564.523536072,
