date,action,stock,reason,price,exec_price,volume,amount,cost,capital_after,pnl
2025-10-17,买入,002958,"开仓-买入低估股(stock1), z=-1.58",4.540207024412407e-43,4.544747231436819e-43,1101271367828672821285193755102118926647243571200,500499.99999999994,150.14999999999998,499349.85000000003,
2025-10-29,卖出,002958,"平仓-价差回归, z=-0.04",4.498168070482663e-43,4.49366990241218e-43,1101271367828672821285193755102118926647243571200,494875.0,643.3375,993581.5125,-6268.337499999971
2025-11-10,买入,002958,"开仓-买入低估股(stock1), z=-2.79",4.582245978342152e-43,4.586828224320493e-43,1084164312867677968969888739576242627448877875200,497287.5470062499,149.18626410187497,496144.7792296482,
2025-11-11,卖出,002958,"平仓-止损, z=-2.35",4.582245978342152e-43,4.57766373236381e-43,1084164312867677968969888739576242627448877875200,496293.96549375,645.182155141875,991793.5625682563,-1638.763667641783
2025-11-12,买入,002958,"开仓-买入低估股(stock1), z=-1.79",4.5962589629854e-43,4.600855221948385e-43,1078913928213542519060017125188022640050595430400,496392.6780654122,148.91780341962365,495251.96669942443,
2025-11-13,卖出,002958,"平仓-止损, z=-2.43",4.5542200090556555e-43,4.5496657890466e-43,1078913928213542519060017125188022640050595430400,490869.7788519034,638.1307125074744,985483.6148388204,-6161.029926016322
2025-11-14,买入,002958,"开仓-买入低估股(stock1), z=-2.39",4.568232993698904e-43,4.572801226692602e-43,1078626698986376775626531745998151056957112320000,493234.54922682955,147.97036476804885,492101.0952472228,
2025-11-19,卖出,002958,"平仓-止损, z=-2.04",4.4701421011961665e-43,4.46567195909497e-43,1078626698986376775626531745998151056957112320000,481679.30039946333,626.1830905193024,973154.2125561668,-12181.431917885504
2025-11-20,买入,002958,"开仓-买入低估股(stock1), z=-1.55",4.5542200090556555e-43,4.558774229064711e-43,1068409311167595672928104340516362568007365427200,487063.6833843615,146.11910501530843,485944.41006679,
2025-11-21,卖出,002958,"平仓-止损, z=-2.18",4.44211613190967e-43,4.43767401577776e-43,1068409311167595672928104340516362568007365427200,474125.2238383455,616.3627909898491,959453.2711141456,-13554.822337005833
2025-11-24,买入,002958,"开仓-买入低估股(stock1), z=-1.58",4.428103147266422e-43,4.432531250413688e-43,1083368249570292911443907128588881888570821836800,480206.3621926299,144.06190865778896,479102.84701285796,
2025-11-26,卖出,002958,"平仓-止损, z=-2.08",4.414090162623174e-43,4.409676072460551e-43,1083368249570292911443907128588881888570821836800,477730.3047793591,621.0493962131668,956212.1023960039,-3097.106809483965
2025-11-27,买入,002958,"开仓-买入低估股(stock1), z=-2.52",4.428103147266422e-43,4.432531250413688e-43,1079708478546053540120848185112969724613047091200,478584.1572491999,143.57524717475997,477484.3698996292,
2025-11-28,卖出,002958,"平仓-止损, z=-3.55",4.400077177979926e-43,4.395677100801945e-43,1079708478546053540120848185112969724613047091200,474604.9834686596,616.9864785092574,951472.3668897795,-4596.160259049583
2025-12-01,买入,002958,"开仓-买入低估股(stock1), z=-2.41",4.498168070482663e-43,4.502666238553145e-43,1057622071897909855789532311492520413565760307200,476211.9196283346,142.86357588850035,475117.58368555637,
2025-12-02,卖出,002958,"平仓-止损, z=-2.52",4.498168070482663e-43,4.49366990241218e-43,1057622071897909855789532311492520413565760307200,475260.4472614448,617.8385814398782,949760.1923655614,-1569.3109483296516
2025-12-03,买入,002958,"开仓-买入低估股(stock1), z=-1.94",4.512181055125911e-43,4.516693236181036e-43,1052440250914375938122375526915196691769878118400,475354.9762789634,142.60649288368901,474262.6095937143,
2025-12-08,卖出,002958,"平仓-止损, z=-2.03",4.484155085839415e-43,4.479670930753575e-43,1052440250914375938122375526915196691769878118400,471458.5998376129,612.8961797888967,945108.3132515382,-4509.272621139448
2025-12-09,买入,002958,"开仓-买入低估股(stock1), z=-1.73",4.428103147266422e-43,4.432531250413688e-43,1067170616649904707005168269457566906470052659200,473026.71078239486,141.90801323471845,471939.6944559086,
2026-01-08,卖出,002958,"平仓-时间止损, 持仓20天",4.330012254763685e-43,4.325682242508921e-43,1067170616649904707005168269457566906470052659200,461624.09861697874,600.1113282020724,932963.6817446853,-12002.72349361818
2026-01-19,买入,601825,"开仓-买入低估股(stock2), z=1.60",1.2163270670339412e-42,1.217543394100975e-42,383516780572741799037340540242290218924769280000,466948.32271321496,140.08449681396448,465875.2745346564,
2026-01-21,卖出,601825,"平仓-止损, z=2.45",1.2051166793193427e-42,1.2039115626400233e-42,383516780572741799037340540242290218924769280000,461720.2865980005,600.2363725774006,926995.3247600795,-5828.272487791832
2026-01-22,买入,601825,"开仓-买入低估股(stock2), z=3.10",1.1995114854620434e-42,1.2007109969475053e-42,386405355844928586851380231784030753730120908800,463961.1600424198,139.18834801272592,462894.97636964696,
2026-01-23,卖出,601825,"平仓-止损, z=3.57",1.1897023962117697e-42,1.1885126938155579e-42,386405355844928586851380231784030753730120908800,459247.67038001533,597.0219714940199,921545.6247781683,-5310.5116338984735
2026-01-26,买入,601825,"开仓-买入低估股(stock2), z=3.40",1.1770907100328463e-42,1.178267800742879e-42,391450555561878815614325567508220935729787699200,461233.58520147315,138.37007556044193,460173.66950113466,
2026-01-27,卖出,601825,"平仓-止损, z=3.27",1.1658803223182478e-42,1.1647144419959296e-42,391450555561878815614325567508220935729787699200,455928.11539025034,592.7065500073254,915509.0783413777,-5898.17636123016
2026-01-28,买入,601825,"开仓-买入低估股(stock2), z=2.95",1.1658803223182478e-42,1.1670462026405659e-42,392625666981397553843103966019336548425452748800,458212.2937098594,137.4636881129578,457159.32094340527,
2026-01-29,卖出,601825,"平仓-止损, z=2.41",1.1925049931404193e-42,1.1913124881472789e-42,392625666981397553843103966019336548425452748800,467739.8602420936,608.0618183147217,924291.1193671841,8919.504713919501
2026-02-02,买入,601825,"开仓-买入低估股(stock2), z=1.62",1.171485516175547e-42,1.1726570016917225e-42,394495325210951639121526219137671158457958400000,462607.70524327556,138.78231157298265,461544.6318123356,
