month_end,selected,ret
2023-02-28,['127078'],-0.0007536566379079776
2023-03-31,['127078'],-0.002247554526758193
2023-04-28,['127078'],-0.002627562934604038
2023-05-31,['127078'],-0.001148308134857422
2023-06-30,['127078'],-0.0008112510299112575
2023-07-31,['127078'],0.001207664781902631
2023-08-31,['127078'],-0.0029653167158550557
2023-09-29,['127078'],-0.0008253399105864276
2023-10-31,['127078'],0.0004949702163446427
2023-11-30,['127078'],-0.002675613539526514
2023-12-29,['127078'],-0.00044767388171167307
