date,value
2024-10-08,1000000.0
2024-10-09,1000000.0
2024-10-10,1000000.0
2024-10-11,1000000.0
2024-10-14,1000000.0
2024-10-15,1000000.0
2024-10-16,1000000.0
2024-10-17,1000000.0
2024-10-18,1000000.0
2024-10-21,1000000.0
2024-10-22,1000000.0
2024-10-23,1000000.0
2024-10-24,1000000.0
2024-10-25,1000000.0
2024-10-28,1000000.0
2024-10-29,1000000.0
2024-10-30,1000000.0
2024-10-31,1000000.0
2024-11-01,1000000.0
2024-11-04,999849.85
2024-11-05,998839.2332266326
2024-11-06,998689.2575157636
2024-11-07,998689.2575157636
2024-11-08,998689.2575157636
2024-11-11,998689.2575157636
2024-11-12,998689.2575157636
2024-11-13,990059.6722071462
2024-11-14,990059.6722071462
2024-11-15,990059.6722071462
2024-11-18,990059.6722071462
2024-11-19,990059.6722071462
2024-11-20,990059.6722071462
2024-11-21,989911.0147473642
2024-11-22,989911.0147473642
2024-11-25,966558.1478701368
2024-11-26,966413.019164234
2024-11-27,970581.7925427395
2024-11-28,970436.0596865893
2024-11-29,966958.5819322988
2024-12-02,966813.3931012216
2024-12-03,966813.3931012216
2024-12-04,966813.3931012216
2024-12-05,966813.3931012216
2024-12-06,966813.3931012216
2024-12-09,966813.3931012216
2024-12-10,966813.3931012216
2024-12-11,966813.3931012216
2024-12-12,966813.3931012216
2024-12-13,966813.3931012216
2024-12-16,977418.5067395205
2024-12-17,977418.5067395205
2024-12-18,977418.5067395205
2024-12-19,977418.5067395205
2024-12-20,977418.5067395205
2024-12-23,977418.5067395205
2024-12-24,977418.5067395205
2024-12-25,977418.5067395205
2024-12-26,977418.5067395205
2024-12-27,977418.5067395205
2024-12-30,977418.5067395205
2024-12-31,977418.5067395205
2025-01-02,977418.5067395205
2025-01-03,977418.5067395205
2025-01-06,977418.5067395205
2025-01-07,977418.5067395205
2025-01-08,977418.5067395205
2025-01-09,977418.5067395205
2025-01-10,977418.5067395205
2025-01-13,977418.5067395205
2025-01-14,977418.5067395205
2025-01-15,977418.5067395205
2025-01-16,977418.5067395205
2025-01-17,977271.7473507335
2025-01-20,970931.5368526763
2025-01-21,970785.7514824178
2025-01-22,966795.4438097451
2025-01-23,966650.279473857
2025-01-24,966650.279473857
2025-01-27,966650.279473857
2025-02-05,989959.6600912579
2025-02-06,989811.0176482953
2025-02-07,989385.6653844159
2025-02-10,989237.1091267584
2025-02-11,986993.672716883
2025-02-12,986845.4756169246
2025-02-13,986845.4756169246
2025-02-14,986845.4756169246
2025-02-17,986845.4756169246
2025-02-18,986845.4756169246
2025-02-19,979191.1096079611
2025-02-20,979044.0840628536
2025-02-21,979044.0840628536
2025-02-24,979044.0840628536
2025-02-25,979044.0840628536
2025-02-26,979044.0840628536
2025-02-27,970147.5130223386
2025-02-28,970001.8453732583
2025-03-03,970001.8453732583
2025-03-04,970001.8453732583
2025-03-05,970001.8453732583
2025-03-06,970001.8453732583
2025-03-07,970001.8453732583
2025-03-10,971426.4745568242
2025-03-11,971280.6148716696
2025-03-12,971280.6148716696
2025-03-13,971280.6148716696
2025-03-14,971280.6148716696
2025-03-17,971280.6148716696
2025-03-18,971280.6148716696
2025-03-19,971280.6148716696
2025-03-20,971280.6148716696
2025-03-21,971280.6148716696
2025-03-24,971280.6148716696
2025-03-25,971280.6148716696
2025-03-26,971280.6148716696
2025-03-27,978148.2480411255
2025-03-28,978148.2480411255
2025-03-31,978148.2480411255
2025-04-01,978148.2480411255
2025-04-02,978148.2480411255
