date,action,stock,reason,price,exec_price,volume,amount,cost,capital_after,pnl
2025-03-19,买入,002839,"开仓-买入低估股(stock2), z=2.18",5.969531458023721e-43,5.9755009894817435e-43,837586674123215875380746504785547547922084659200,500499.9999999999,150.14999999999995,499349.8500000001,
2025-04-01,卖出,002839,"平仓-价差回归, z=-0.03",5.997557427310217e-43,5.991559869882907e-43,837586674123215875380746504785547547922084659200,501845.0704225352,652.3985915492957,1000542.521830986,692.6718309859999
2025-04-09,买入,002142,"开仓-买入低估股(stock1), z=-1.67",3.2734332126627727e-42,3.276706645875435e-42,152827697531836172882177896528873227792311910400,500771.53217640845,150.23145965292252,499620.7581949246,
2025-04-16,卖出,002142,"平仓-价差回归, z=-0.23",3.4359838345244515e-42,3.432547850689927e-42,152827697531836172882177896528873227792311910400,524588.3846887945,681.9649000954328,1023527.1779836237,23134.88761229061
2025-04-29,买入,002142,"开仓-买入低估股(stock1), z=-1.67",3.3981487759876814e-42,3.401546924763669e-42,150600701360718486988520543291428652947236454400,512275.3525808036,153.68260577424107,511098.1427970458,
2025-05-14,卖出,002142,"平仓-价差回归, z=-0.19",3.6882175581029185e-42,3.6845293405448155e-42,150600701360718486988520543291428652947236454400,554892.7028701948,721.3605137312533,1065269.4851535093,41895.98977565991
2025-05-16,买入,002839,"开仓-买入低估股(stock2), z=2.09",5.885453550164232e-43,5.891339003714395e-43,905002032616316645670485847212442511551443763200,533167.3773193314,159.9502131957994,531942.1576209822,
2025-05-21,卖出,002839,"平仓-止损, z=2.69",5.969531458023721e-43,5.963561926565697e-43,905002032616316645670485847212442511551443763200,539703.5665175234,701.6146364727804,1070944.1095020329,5834.574561719177
2025-05-22,买入,002839,"开仓-买入低估股(stock2), z=1.96",6.05360936588321e-43,6.059662975249092e-43,884550063254522663337029286928464797830742016000,536007.5268057673,160.80225804173017,534775.7804382239,
2025-05-23,卖出,002839,"平仓-止损, z=2.11",5.997557427310217e-43,5.991559869882907e-43,884550063254522663337029286928464797830742016000,529983.4661898185,688.978506046764,1064070.2681219955,-6713.039121995645
2025-05-26,买入,002839,"开仓-买入低估股(stock2), z=1.94",6.011570411953465e-43,6.017581982365418e-43,885018551896346228518594071421540819442807603200,532567.1691950588,159.77015075851762,531343.3287761782,
2025-06-05,卖出,002839,"平仓-价差回归, z=0.03",6.2778171201751805e-43,6.2715393030550056e-43,885018551896346228518594071421540819442807603200,555042.8632150762,721.555722179599,1085664.6362690749,21754.138297837853
2025-07-16,买入,002142,"开仓-买入低估股(stock1), z=-1.71",3.751275988997535e-42,3.7550272649865324e-42,144706046616314165528756493349536359269164646400,543375.1504526718,163.01254513580153,542126.4732712673,
2025-07-22,卖出,002142,"平仓-价差回归, z=0.26",3.852169478428922e-42,3.8483173089504935e-42,144706046616314165528756493349536359269164646400,556874.7839033587,723.9372190743663,1098277.3199555515,12775.696231612586
2025-07-25,买入,002839,"开仓-买入低估股(stock2), z=3.36",6.403933981964414e-43,6.4103379159463775e-43,857502062832519911668208817581986236545472921600,549687.7986377535,164.90633959132603,548424.6149782067,
2025-07-28,卖出,002839,"平仓-止损, z=3.49",6.417946966607662e-43,6.411529019641054e-43,857502062832519911668208817581986236545472921600,549789.9360252768,714.7269168328598,1097499.8240866507,-612.5895293095974
2025-07-29,买入,002839,"开仓-买入低估股(stock2), z=2.89",6.347882043391421e-43,6.354229925434812e-43,864461419245512643352206752664630333122229043200,549298.6619553686,164.78959858661057,548036.3725326955,
2025-08-01,卖出,002839,"平仓-止损, z=2.16",6.2778171201751805e-43,6.2715393030550056e-43,864461419245512643352206752664630333122229043200,542150.3766772944,704.7954896804827,1089481.9537203093,-7853.080767754736
2025-08-04,买入,002839,"开仓-买入低估股(stock2), z=1.70",6.2778171201751805e-43,6.284094937295355e-43,867723551725498110766270290706615492988528230400,545285.7178370147,163.5857153511044,544032.6501679434,
2025-08-20,卖出,002839,"平仓-价差回归, z=0.20",6.347882043391421e-43,6.34153416134803e-43,867723551725498110766270290706615492988528230400,550269.8545873491,715.3508109635538,1093587.153944329,4268.785939370819
2025-09-09,买入,002839,"开仓-买入低估股(stock2), z=1.83",6.221765181602188e-43,6.2279869467837894e-43,878839944954910393357078711742476253035023564800,547340.3705491365,164.20211116474096,546082.5812840277,
2025-09-15,卖出,002839,"平仓-价差回归, z=0.02",6.20775219695894e-43,6.201544444761981e-43,878839944954910393357078711742476253035023564800,545016.4978470049,708.5214472011063,1090390.5576838315,-3032.3941493327357
2025-09-17,买入,002142,"开仓-买入低估股(stock1), z=-1.87",3.7877097490699805e-42,3.79149745881905e-42,143937977025768925423199799093582585399764582400,545740.4741207577,163.72214223622728,544486.3614208377,
2025-10-15,卖出,002142,"平仓-价差回归, z=0.06",3.807327927570528e-42,3.803520599642957e-42,143937977025768925423199799093582585399764582400,547471.0606884469,711.7123788949809,1091245.7097303895,1018.8741887941965
