date,value
2024-10-08,1000000.0
2024-10-09,999849.85
2024-10-10,999849.85
2024-10-11,991790.0360397196
2024-10-14,991790.0360397196
2024-10-15,991790.0360397196
2024-10-16,991641.1187658082
2024-10-17,991641.1187658082
2024-10-18,991641.1187658082
2024-10-21,991641.1187658082
2024-10-22,991641.1187658082
2024-10-23,991641.1187658082
2024-10-24,991641.1187658082
2024-10-25,991641.1187658082
2024-10-28,991641.1187658082
2024-10-29,991641.1187658082
2024-10-30,991641.1187658082
2024-10-31,979667.1435146616
2024-11-01,979667.1435146616
2024-11-04,979667.1435146616
2024-11-05,979520.0464930629
2024-11-06,979520.0464930629
2024-11-07,979520.0464930629
2024-11-08,979520.0464930629
2024-11-11,979520.0464930629
2024-11-12,979520.0464930629
2024-11-13,979520.0464930629
2024-11-14,979520.0464930629
2024-11-15,979520.0464930629
2024-11-18,979520.0464930629
2024-11-19,979520.0464930629
2024-11-20,979520.0464930629
2024-11-21,979520.0464930629
2024-11-22,979520.0464930629
2024-11-25,979520.0464930629
2024-11-26,979520.0464930629
2024-11-27,980099.0270617302
2024-11-28,980099.0270617302
2024-11-29,980099.0270617302
2024-12-02,980099.0270617302
2024-12-03,980099.0270617302
2024-12-04,980099.0270617302
2024-12-05,979951.8651928168
2024-12-06,976690.9788735837
2024-12-09,976544.3287231058
2024-12-10,980855.4701159543
2024-12-11,980708.1946671164
2024-12-12,975383.5995700307
2024-12-13,975383.5995700307
2024-12-16,975383.5995700307
2024-12-17,975383.5995700307
2024-12-18,975383.5995700307
2024-12-19,975383.5995700307
2024-12-20,975383.5995700307
2024-12-23,975237.1457225552
2024-12-24,975237.1457225552
2024-12-25,975237.1457225552
2024-12-26,975237.1457225552
2024-12-27,975237.1457225552
2024-12-30,975237.1457225552
2024-12-31,975237.1457225552
2025-01-02,975237.1457225552
2025-01-03,975237.1457225552
2025-01-06,975237.1457225552
2025-01-07,975237.1457225552
2025-01-08,975237.1457225552
2025-01-09,975237.1457225552
2025-01-10,975237.1457225552
2025-01-13,975237.1457225552
2025-01-14,975237.1457225552
2025-01-15,975237.1457225552
2025-01-16,975237.1457225552
2025-01-17,975237.1457225552
2025-01-20,975237.1457225552
2025-01-21,966387.7607313418
2025-01-22,966387.7607313418
2025-01-23,966387.7607313418
2025-01-24,966387.7607313418
2025-01-27,966242.657609068
2025-02-05,966242.657609068
2025-02-06,966242.657609068
2025-02-07,966242.657609068
2025-02-10,966242.657609068
2025-02-11,966242.657609068
2025-02-12,966242.657609068
2025-02-13,966242.657609068
2025-02-14,966242.657609068
2025-02-17,966242.657609068
2025-02-18,967601.7821739325
2025-02-19,967601.7821739325
2025-02-20,967601.7821739325
2025-02-21,967601.7821739325
2025-02-24,967601.7821739325
2025-02-25,967601.7821739325
2025-02-26,967601.7821739325
2025-02-27,967456.496766339
2025-02-28,967456.496766339
2025-03-03,974470.4160418916
2025-03-04,974324.0993089229
2025-03-05,974324.0993089229
2025-03-06,974324.0993089229
2025-03-07,974324.0993089229
2025-03-10,976403.537355026
2025-03-11,976256.9303638921
2025-03-12,977273.6811705257
2025-03-13,977126.943527298
2025-03-14,981860.15671809
2025-03-17,981712.7304155587
2025-03-18,985394.1822382396
2025-03-19,985246.2253017765
2025-03-20,986775.3901879378
2025-03-21,986627.225863101
2025-03-24,986627.225863101
2025-03-25,986627.225863101
2025-03-26,986627.225863101
2025-03-27,986627.225863101
2025-03-28,986627.225863101
2025-03-31,986627.225863101
2025-04-01,986627.225863101
2025-04-02,992829.8078860082
2025-04-03,992829.8078860082
2025-04-07,992829.8078860082
2025-04-08,992829.8078860082
2025-04-09,992829.8078860082
2025-04-10,992829.8078860082
2025-04-11,992829.8078860082
2025-04-14,992829.8078860082
2025-04-15,992829.8078860082
2025-04-16,992829.8078860082
2025-04-17,992829.8078860082
2025-04-18,992829.8078860082
2025-04-21,992829.8078860082
2025-04-22,992829.8078860082
2025-04-23,992829.8078860082
2025-04-24,992829.8078860082
2025-04-25,992829.8078860082
2025-04-28,992680.7344903541
2025-04-29,992680.7344903541
2025-04-30,991043.2106467173
2025-05-06,990894.4055086388
2025-05-07,990894.4055086388
2025-05-08,990894.4055086388
2025-05-09,995431.0391357368
2025-05-12,995281.5751652105
2025-05-13,995281.5751652105
2025-05-14,995281.5751652105
2025-05-15,995281.5751652105
2025-05-16,995281.5751652105
2025-05-19,995281.5751652105
2025-05-20,995281.5751652105
2025-05-21,995281.5751652105
2025-05-22,995281.5751652105
2025-05-23,995281.5751652105
2025-05-26,995281.5751652105
2025-05-27,995281.5751652105
2025-05-28,995281.5751652105
2025-05-29,995281.5751652105
2025-05-30,995281.5751652105
2025-06-03,1026212.7189784676
2025-06-04,1026212.7189784676
2025-06-05,1026212.7189784676
2025-06-06,1026058.633138713
2025-06-09,1026058.633138713
2025-06-10,1026058.633138713
2025-06-11,1026058.633138713
2025-06-12,1026058.633138713
2025-06-13,1051774.1127407022
2025-06-16,1051774.1127407022
2025-06-17,1051774.1127407022
2025-06-18,1051774.1127407022
2025-06-19,1051774.1127407022
2025-06-20,1051774.1127407022
2025-06-23,1051774.1127407022
2025-06-24,1051774.1127407022
2025-06-25,1051774.1127407022
2025-06-26,1051774.1127407022
2025-06-27,1051774.1127407022
2025-06-30,1051774.1127407022
2025-07-01,1051774.1127407022
2025-07-02,1051774.1127407022
2025-07-03,1051616.1888576741
2025-07-04,1051616.1888576741
2025-07-07,1051616.1888576741
2025-07-08,1078858.9721229593
2025-07-09,1078858.9721229593
2025-07-10,1078858.9721229593
2025-07-11,1078858.9721229593
2025-07-14,1078858.9721229593
2025-07-15,1078858.9721229593
2025-07-16,1078858.9721229593
2025-07-17,1078858.9721229593
2025-07-18,1078858.9721229593
2025-07-21,1078858.9721229593
2025-07-22,1078858.9721229593
2025-07-23,1078858.9721229593
2025-07-24,1078858.9721229593
2025-07-25,1078858.9721229593
2025-07-28,1078858.9721229593
2025-07-29,1078858.9721229593
2025-07-30,1078858.9721229593
2025-07-31,1078858.9721229593
2025-08-01,1078858.9721229593
