date,action,stock,reason,price,exec_price,volume,amount,cost,capital_after,pnl
2025-09-29,买入,601825,"开仓-买入低估股(stock2), z=1.60",1.1658803223182478e-42,1.1670462026405659e-42,428860484587127333977401499098599988665306316800,500499.99999999994,150.14999999999998,499349.85000000003,
2025-09-30,卖出,601825,"平仓-止损, z=2.03",1.1462621438177004e-42,1.1451158816738827e-42,428860484587127333977401499098599988665306316800,491094.95192307694,638.4234375000001,989806.378485577,-10043.471514422994
2025-10-09,买入,601825,"开仓-买入低估股(stock2), z=2.29",1.1378543530317515e-42,1.138992207384783e-42,434944233349501760052371279554203267275895603200,495398.0924320312,148.61942772960933,494259.66662581614,
2025-10-10,卖出,601825,"平仓-止损, z=3.18",1.1364530545674266e-42,1.1353166015128592e-42,434944233349501760052371279554203267275895603200,493799.40885397233,641.9392315101641,987417.1362482783,-2240.6228095690326
2025-10-13,买入,601825,"开仓-买入低估股(stock2), z=2.43",1.1602751284609485e-42,1.1614354035894093e-42,425509912273152623868366629050449454432256000000,494202.2766922632,148.26068300767895,493066.59887300746,
2025-10-31,卖出,601825,"平仓-价差回归, z=0.28",1.195307590069069e-42,1.194112282479e-42,425509912273152623868366629050449454432256000000,508106.61256193335,660.5385963305133,1000512.6728386104,13243.797273339647
2025-11-10,买入,600926,"开仓-买入低估股(stock1), z=-1.65",2.2574918260272803e-42,2.2597493178533074e-42,221598293580381684727603003452740908404755660800,500756.59275572444,150.22697782671733,499605.8531050592,
2025-11-18,卖出,600926,"平仓-止损, z=-2.42",2.1495918442742694e-42,2.147442252429995e-42,221598293580381684727603003452740908404755660800,475869.5387008981,618.6304003111676,974856.7614056461,-25505.684455137492
2025-11-19,买入,600926,"开仓-买入低估股(stock1), z=-2.33",2.159400933524543e-42,2.1615603344580676e-42,225723890888224021382113722627088221177957580800,487915.8090835259,146.37474272505776,486794.57757939515,
2025-11-20,卖出,600926,"平仓-止损, z=-2.15",2.183223007418065e-42,2.181039784410647e-42,225723890888224021382113722627088221177957580800,492312.7863191845,640.0066222149399,978467.3572763647,3756.9706134437083
2025-11-21,买入,600926,"开仓-买入低估股(stock1), z=-2.25",2.1481905458099446e-42,2.1503387363557544e-42,227742217557206370024397587448272960086658252800,489722.91231682047,146.91687369504612,488597.5280858492,
2025-11-28,卖出,600926,"平仓-止损, z=-2.66",2.1846243058823898e-42,2.1824396815765075e-42,227742217557206370024397587448272960086658252800,497033.6527670772,646.1437485972003,984985.0371043292,6664.596701659515
2025-12-01,买入,600926,"开仓-买入低估股(stock1), z=-2.21",2.207045081311587e-42,2.2092521263928982e-42,223145654215404458523739570738929552219281817600,492985.01107071666,147.895503321215,491852.13053029135,
2025-12-02,卖出,600926,"平仓-止损, z=-2.27",2.2098476782402365e-42,2.2076378305619963e-42,223145654215404458523739570738929552219281817600,492624.7879714329,640.4122243628627,983836.5062773614,-1000.6353236466742
2025-12-03,买入,600926,"开仓-买入低估股(stock1), z=-1.79",2.2154528720975358e-42,2.2176683249696332e-42,222039592597131054133330875369528803443972505600,492410.1713918194,147.7230514175458,491278.6118341245,
2025-12-31,卖出,600926,"平仓-时间止损, 持仓20天",2.1411840534883205e-42,2.139042869434832e-42,222039592597131054133330875369528803443972505600,474952.20727710833,617.4378694602408,965613.3812417726,-18075.40198417131
2026-01-13,买入,601825,"开仓-买入低估股(stock2), z=2.31",1.2653725132853098e-42,1.266637885798595e-42,381553009530265833751055862959292690879584665600,483289.49731150706,144.98684919345212,482178.89708107203,
2026-01-15,卖出,601825,"平仓-止损, z=2.87",1.2289387532128646e-42,1.2277098144596518e-42,381553009530265833751055862959292690879584665600,468436.3745369244,608.9672868980017,950006.3043310985,-15462.090061480672
2026-01-16,买入,601825,"开仓-买入低估股(stock2), z=1.72",1.2289387532128646e-42,1.2301676919660774e-42,386514910465415118802833796121213942484906803200,475478.1553177147,142.6434465953144,474385.50556678843,
2026-01-22,卖出,601825,"平仓-止损, z=2.70",1.1995114854620434e-42,1.1983119739765814e-42,386514910465415118802833796121213942484906803200,463165.4453311932,602.1150789305511,936948.8358190511,-12914.825065452107
