date,value
2022-09-28,1000000.0
2022-09-29,1000000.0
2022-09-30,1000000.0
2022-10-10,999849.85
2022-10-11,999849.85
2022-10-12,999849.85
2022-10-13,999849.85
2022-10-14,989542.8420799063
2022-10-17,989542.8420799063
2022-10-18,989542.8420799063
2022-10-19,989542.8420799063
2022-10-20,989542.8420799063
2022-10-21,989542.8420799063
2022-10-24,989542.8420799063
2022-10-25,956688.967298726
2022-10-26,956545.3204502861
2022-10-27,950565.7142133864
2022-10-28,950422.9867713973
2022-10-31,950422.9867713973
2022-11-01,929846.8260663707
2022-11-02,929707.2095654368
2022-11-03,929707.2095654368
2022-11-04,929707.2095654368
2022-11-07,929707.2095654368
2022-11-08,929707.2095654368
2022-11-09,929707.2095654368
2022-11-10,929707.2095654368
2022-11-11,929707.2095654368
2022-11-14,978360.0447245075
2022-11-15,978360.0447245075
2022-11-16,978360.0447245075
2022-11-17,978360.0447245075
2022-11-18,978360.0447245075
2022-11-21,978360.0447245075
2022-11-22,978360.0447245075
2022-11-23,978360.0447245075
2022-11-24,978360.0447245075
2022-11-25,978360.0447245075
2022-11-28,978360.0447245075
2022-11-29,978360.0447245075
2022-11-30,978360.0447245075
2022-12-01,978213.1439637921
2022-12-02,978213.1439637921
2022-12-05,978213.1439637921
2022-12-06,983030.6716193459
2022-12-07,982883.0695640023
2022-12-08,982883.0695640023
2022-12-09,982883.0695640023
2022-12-12,986265.6414921675
2022-12-13,986117.5537060974
2022-12-14,986117.5537060974
2022-12-15,983028.7487248906
2022-12-16,982881.1469582696
2022-12-19,980517.9056923619
2022-12-20,980370.6809288221
2022-12-21,980370.6809288221
2022-12-22,980370.6809288221
2022-12-23,970385.7313097094
2022-12-26,970240.0278921532
2022-12-27,970240.0278921532
2022-12-28,970240.0278921532
2022-12-29,970240.0278921532
2022-12-30,970240.0278921532
2023-01-03,970240.0278921532
2023-01-04,970240.0278921532
2023-01-05,970240.0278921532
2023-01-06,970240.0278921532
2023-01-09,970240.0278921532
2023-01-10,970240.0278921532
2023-01-11,970240.0278921532
2023-01-12,970240.0278921532
2023-01-13,970240.0278921532
2023-01-16,970240.0278921532
2023-01-17,970240.0278921532
