date,action,stock,reason,price,exec_price,volume,amount,cost,capital_after,pnl
2023-10-17,买入,600015,"开仓-买入低估股(stock1), z=-1.65",8.085492139154194e-43,8.093577631293347e-43,618391547966187103076985979618440814863686041600,500499.9999999999,150.14999999999995,499349.8500000001,
2023-10-23,卖出,600015,"轮动-卖出高估股, z从-1.65到1.71",7.81924543093248e-43,7.811426185501547e-43,618391547966187103076985979618440814863686041600,483051.993067591,627.9675909878683,981773.8754766032,-18075.974523396773
2023-10-23,买入,601658,"轮动-买入低估股, z=1.71",6.7682715826888665e-43,6.7750398542715546e-43,738630119805848945816662007639227144671225446400,500424.84992499993,150.12745497749998,481198.89809662575,
2023-10-24,卖出,601658,"平仓-止损, z=2.41",6.642154720899633e-43,6.6355125661787334e-43,738630119805848945816662007639227144671225446400,490118.94417298137,637.1546274248758,970680.6876421822,-10943.060379443445
2023-10-25,买入,601658,"开仓-买入低估股(stock2), z=3.19",6.656167705542881e-43,6.6628238732484235e-43,729158827258704741054007417704507432452174643200,485825.68416491215,145.74770524947363,484709.2557720206,
2023-10-26,卖出,601658,"平仓-止损, z=3.23",6.726232628759122e-43,6.7195063961303626e-43,729158827258704741054007417704507432452174643200,489958.7403559781,636.9463624627715,974031.0497655359,3496.1098286031674
2023-10-27,买入,601658,"开仓-买入低估股(stock2), z=2.58",6.712219644115874e-43,6.718931863759989e-43,725565536744167529483086316242584698408979660800,487502.54040765064,146.25076212229519,486382.25859576295,
2023-10-30,卖出,601658,"平仓-止损, z=4.46",6.389920997321166e-43,6.3835310763238444e-43,725565536744167529483086316242584698408979660800,463167.01517159835,602.1171197230778,948947.1566476382,-24937.642355775322
2023-10-31,买入,601658,"开仓-买入低估股(stock2), z=3.95",6.403933981964414e-43,6.4103379159463775e-43,740909540385789234709967916105326294393159680000,474948.0519021429,142.48441557064285,473856.6203299247,
2023-11-01,卖出,601658,"平仓-止损, z=3.16",6.459985920537407e-43,6.453525934616869e-43,740909540385789234709967916105326294393159680000,478147.89340847556,621.5922614310182,951382.9214769693,2578.249244901661
2023-11-02,买入,601658,"开仓-买入低估股(stock2), z=2.66",6.544063828396896e-43,6.550607892225292e-43,726905288842537392253678458671258741776161177600,476167.15219922306,142.8501456597669,475072.91913208645,
2023-11-03,卖出,601658,"平仓-止损, z=2.23",6.502024874467151e-43,6.495522849592684e-43,726905288842537392253678458671258741776161177600,472162.99131664715,613.8118887116412,946622.098560022,-4617.972771287547
2023-11-06,买入,601658,"开仓-买入低估股(stock2), z=1.94",6.473998905180655e-43,6.4804729040858346e-43,731095349585641332878523835032867363926677913600,473784.36032929097,142.13530809878728,472695.6029226322,
2023-11-08,卖出,601658,"平仓-止损, z=2.00",6.389920997321166e-43,6.3835310763238444e-43,731095349585641332878523835032867363926677913600,466696.9883835786,606.7060848986522,938785.885221312,-7694.078030610973
2023-11-09,买入,601658,"开仓-买入低估股(stock2), z=1.62",6.459985920537407e-43,6.4664459064579435e-43,726616045893188579114609530354963093062156288000,469862.33555326663,140.95870066598,468782.59096737945,
2023-11-27,卖出,601658,"平仓-止损, z=2.16",6.235778166245436e-43,6.229542388079191e-43,726616045893188579114609530354963093062156288000,452648.54577501124,588.4431095075146,920842.6936328833,-17802.23288776289
2023-11-28,买入,601658,"开仓-买入低估股(stock2), z=2.05",6.235778166245436e-43,6.2420139444116805e-43,738354275186895449721235682122833762565121638400,460881.76816325804,138.2645304489774,459822.6609391762,
2023-11-29,卖出,601658,"平仓-止损, z=2.51",6.095648319812954e-43,6.089552671493141e-43,738354275186895449721235682122833762565121638400,449624.7248972741,584.5121423664564,908862.8736940839,-11841.555408350405
2023-11-30,买入,601658,"开仓-买入低估股(stock2), z=2.27",6.151700258385947e-43,6.157851958644332e-43,738708678511383652976042616084309856925777920000,454885.86828388897,136.46576048516667,453840.53964970977,
2023-12-01,卖出,601658,"平仓-止损, z=2.05",6.1937392123156915e-43,6.187545473103376e-43,738708678511383652976042616084309856925777920000,457079.35396652884,594.2031601564875,910325.6904560821,1599.282522483364
2023-12-04,买入,601658,"开仓-买入低估股(stock2), z=2.21",6.165713243029195e-43,6.1718789562722235e-43,738216046201365294994721825031549633757498572800,455618.008073269,136.68540242198068,454570.99698039115,
2023-12-05,卖出,601658,"平仓-止损, z=2.03",6.095648319812954e-43,6.089552671493141e-43,738216046201365294994721825031549633757498572800,449540.5496284628,584.4027145170016,903527.1438943369,-6661.861159323173
2023-12-06,买入,601658,"开仓-买入低估股(stock2), z=1.73",6.081635335169706e-43,6.087716970504875e-43,742832391371197019916635375501032547120735846400,452215.33551911556,135.66460065573466,451176.1437745656,
2023-12-29,卖出,601658,"平仓-价差回归, z=0.08",6.095648319812954e-43,6.089552671493141e-43,742832391371197019916635375501032547120735846400,452351.69733461115,588.0572065349945,902939.7839026417,-451.6953910393908
