date,value
2025-09-29,1000000.0
2025-09-30,1000000.0
2025-10-09,1000000.0
2025-10-10,1000000.0
2025-10-13,1000000.0
2025-10-14,1000000.0
2025-10-15,1000000.0
2025-10-16,1000000.0
2025-10-17,1000000.0
2025-10-20,1000000.0
2025-10-21,1000000.0
2025-10-22,1000000.0
2025-10-23,1000000.0
2025-10-24,1000000.0
2025-10-27,1000000.0
2025-10-28,1000000.0
2025-10-29,1000000.0
2025-10-30,1000000.0
2025-10-31,1000000.0
2025-11-03,1000000.0
2025-11-04,1000000.0
2025-11-05,1000000.0
2025-11-06,1000000.0
2025-11-07,1000000.0
2025-11-10,1000000.0
2025-11-11,1000000.0
2025-11-12,1000000.0
2025-11-13,1000000.0
2025-11-14,1000000.0
2025-11-17,1000000.0
2025-11-18,999849.85
2025-11-19,999849.85
2025-11-20,999849.85
2025-11-21,999849.85
2025-11-24,999849.85
2025-11-25,999849.85
2025-11-26,999849.85
2025-11-27,999849.85
2025-11-28,999849.85
2025-12-01,999849.85
2025-12-02,999849.85
2025-12-03,999849.85
2025-12-04,999849.85
2025-12-05,999849.85
2025-12-08,999849.85
2025-12-09,999849.85
2025-12-10,999849.85
2025-12-11,999849.85
2025-12-12,999849.85
2025-12-15,999849.85
2025-12-16,972775.7744288226
2025-12-17,972629.7121462921
2025-12-18,973746.4036416804
2025-12-19,973600.1956191736
2025-12-22,973600.1956191736
2025-12-23,973600.1956191736
2025-12-24,973600.1956191736
2025-12-25,973600.1956191736
2025-12-26,973600.1956191736
2025-12-29,973600.1956191736
2025-12-30,973600.1956191736
2025-12-31,973600.1956191736
2026-01-05,973600.1956191736
2026-01-06,973600.1956191736
2026-01-07,973600.1956191736
2026-01-08,973600.1956191736
2026-01-09,973600.1956191736
2026-01-12,973600.1956191736
2026-01-13,973600.1956191736
2026-01-14,973600.1956191736
2026-01-15,973600.1956191736
2026-01-16,973600.1956191736
2026-01-19,973600.1956191736
2026-01-20,945206.2411211315
2026-01-21,945206.2411211315
2026-01-22,945064.3184040271
2026-01-23,945064.3184040271
2026-01-26,945064.3184040271
2026-01-27,945064.3184040271
2026-01-28,945064.3184040271
2026-01-29,945064.3184040271
2026-01-30,945064.3184040271
2026-02-02,945064.3184040271
2026-02-03,945361.7076389244
2026-02-04,945361.7076389244
2026-02-05,945361.7076389244
2026-02-06,945361.7076389244
2026-02-09,945361.7076389244
2026-02-10,945361.7076389244
2026-02-11,945361.7076389244
2026-02-12,945361.7076389244
2026-02-13,945361.7076389244
2026-02-24,945361.7076389244
2026-02-25,945361.7076389244
2026-02-26,945361.7076389244
2026-02-27,945219.7615785224
2026-03-02,942713.5527353038
2026-03-03,942713.5527353038
