date,value
2025-03-07,1000000.0
2025-03-10,999849.85
2025-03-11,996346.0366171005
2025-03-12,996196.4352597024
2025-03-13,994553.111924208
2025-03-14,994403.7797744526
2025-03-17,994403.7797744526
2025-03-18,1012826.9487968489
2025-03-19,1009510.9540176004
2025-03-20,1009510.9540176004
2025-03-21,1009510.9540176004
2025-03-24,1009510.9540176004
2025-03-25,1009510.9540176004
2025-03-26,1009510.9540176004
2025-03-27,1009510.9540176004
2025-03-28,1009510.9540176004
2025-03-31,1009510.9540176004
2025-04-01,1009510.9540176004
2025-04-02,1009510.9540176004
2025-04-03,1009510.9540176004
2025-04-07,1009510.9540176004
2025-04-08,1009510.9540176004
2025-04-09,1009510.9540176004
2025-04-10,1009510.9540176004
2025-04-11,1009510.9540176004
2025-04-14,1009510.9540176004
2025-04-15,1009510.9540176004
2025-04-16,1009510.9540176004
2025-04-17,1009359.3759478547
2025-04-18,1009359.3759478547
2025-04-21,1011438.5412535693
2025-04-22,1011286.6737566001
2025-04-23,1015266.4811852186
2025-04-24,1015114.0389230687
2025-04-25,1015322.2836655693
2025-04-28,1015169.8330246769
2025-04-29,1015169.8330246769
2025-04-30,1013495.2112161132
2025-05-06,1013495.2112161132
2025-05-07,1013495.2112161132
2025-05-08,1013495.2112161132
2025-05-09,1013495.2112161132
2025-05-12,1013495.2112161132
2025-05-13,1013495.2112161132
2025-05-14,1013495.2112161132
2025-05-15,1013343.034910149
2025-05-16,1013343.034910149
2025-05-19,1013343.034910149
2025-05-20,1013343.034910149
2025-05-21,1013343.034910149
2025-05-22,1013343.034910149
2025-05-23,1013343.034910149
2025-05-26,1013343.034910149
2025-05-27,1013343.034910149
2025-05-28,1013343.034910149
2025-05-29,1013343.034910149
2025-05-30,1013343.034910149
2025-06-03,1013343.034910149
2025-06-04,1013343.034910149
2025-06-05,1030086.6921257732
2025-06-06,1029932.0246089505
2025-06-09,1008984.2456408243
2025-06-10,1008832.7466563414
2025-06-11,1013110.1082166685
2025-06-12,1012957.9897339197
2025-06-13,1018893.230162299
2025-06-16,1018740.2433437901
2025-06-17,1018740.2433437901
2025-06-18,1018740.2433437901
2025-06-19,1018740.2433437901
2025-06-20,1018740.2433437901
2025-06-23,1026378.1168806516
2025-06-24,1026224.0062064019
2025-06-25,1026224.0062064019
2025-06-26,1026224.0062064019
2025-06-27,1026224.0062064019
2025-06-30,1035232.3103592799
2025-07-01,1035232.3103592799
2025-07-02,1035232.3103592799
2025-07-03,1035232.3103592799
2025-07-04,1035232.3103592799
2025-07-07,1035232.3103592799
2025-07-08,1035232.3103592799
2025-07-09,1035232.3103592799
2025-07-10,1035232.3103592799
2025-07-11,1035076.8702278794
2025-07-14,1035076.8702278794
2025-07-15,1022414.9123123457
2025-07-16,1022261.396713262
2025-07-17,1022261.396713262
2025-07-18,1022261.396713262
2025-07-21,1022261.396713262
2025-07-22,1022261.396713262
2025-07-23,1022261.396713262
2025-07-24,1022261.396713262
2025-07-25,1022261.396713262
2025-07-28,1022261.396713262
2025-07-29,1022261.396713262
2025-07-30,1022261.396713262
2025-07-31,1022261.396713262
2025-08-01,1022261.396713262
2025-08-04,1022261.396713262
2025-08-05,1022261.396713262
2025-08-06,1022261.396713262
2025-08-07,1022261.396713262
2025-08-08,1022261.396713262
2025-08-11,1022261.396713262
2025-08-12,1022261.396713262
2025-08-13,986999.2797650666
2025-08-14,986999.2797650666
2025-08-15,986999.2797650666
2025-08-18,986999.2797650666
2025-08-19,986999.2797650666
2025-08-20,986999.2797650666
2025-08-21,986999.2797650666
2025-08-22,986999.2797650666
2025-08-25,986999.2797650666
2025-08-26,986999.2797650666
2025-08-27,986999.2797650666
2025-08-28,986999.2797650666
2025-08-29,986999.2797650666
2025-09-01,986851.0818232098
2025-09-02,981246.0725234853
2025-09-03,981098.7384256958
2025-09-04,970739.333767974
2025-09-05,970593.5772570088
2025-09-08,964213.6664852398
2025-09-09,964068.889803217
2025-09-10,963278.8944653864
2025-09-11,963134.2581393823
2025-09-12,963932.2239423225
2025-09-15,963787.4895188976
2025-09-16,963787.4895188976
2025-09-17,957397.0467093028
2025-09-18,957253.2935427395
2025-09-19,957253.2935427395
2025-09-22,957253.2935427395
2025-09-23,957253.2935427395
2025-09-24,957253.2935427395
2025-09-25,957253.2935427395
2025-09-26,957253.2935427395
2025-09-29,957253.2935427395
2025-09-30,957253.2935427395
2025-10-09,957253.2935427395
2025-10-10,957253.2935427395
2025-10-13,957253.2935427395
2025-10-14,957253.2935427395
2025-10-15,957253.2935427395
2025-10-16,957253.2935427395
2025-10-17,957253.2935427395
2025-10-20,957253.2935427395
2025-10-21,957253.2935427395
2025-10-22,957253.2935427395
2025-10-23,957253.2935427395
2025-10-24,965322.6579774669
2025-10-27,965322.6579774669
2025-10-28,965322.6579774669
2025-10-29,965322.6579774669
2025-10-30,965322.6579774669
2025-10-31,965322.6579774669
2025-11-03,965177.7147803716
2025-11-04,965287.156445927
2025-11-05,965142.2185793866
2025-11-06,963550.1222079026
2025-11-07,963405.4451570531
2025-11-10,963491.0137796132
2025-11-11,963346.3456038942
2025-11-12,961757.2117003169
2025-11-13,961612.80385498
2025-11-14,961612.80385498
2025-11-17,961612.80385498
2025-11-18,961612.80385498
2025-11-19,961612.80385498
2025-11-20,961612.80385498
2025-11-21,961612.80385498
2025-11-24,961612.80385498
2025-11-25,961612.80385498
2025-11-26,961612.80385498
2025-11-27,961612.80385498
2025-11-28,961612.80385498
2025-12-01,961612.80385498
2025-12-02,961612.80385498
2025-12-03,961612.80385498
2025-12-04,961612.80385498
2025-12-05,961612.80385498
2025-12-08,961612.80385498
2025-12-09,961612.80385498
2025-12-10,961612.80385498
2025-12-11,936784.9207993001
2025-12-12,936784.9207993001
2025-12-15,936784.9207993001
2025-12-16,936784.9207993001
2025-12-17,936784.9207993001
2025-12-18,936784.9207993001
2025-12-19,936784.9207993001
2025-12-22,936784.9207993001
2025-12-23,936784.9207993001
2025-12-24,936784.9207993001
2025-12-25,936784.9207993001
2025-12-26,936784.9207993001
2025-12-29,936784.9207993001
2025-12-30,936644.2625434421
2025-12-31,935896.643512907
2026-01-05,935756.1186318835
2026-01-06,935756.1186318835
2026-01-07,935756.1186318835
2026-01-08,935756.1186318835
2026-01-09,935756.1186318835
2026-01-12,935756.1186318835
2026-01-13,935007.8512489861
2026-01-14,934867.4598201211
2026-01-15,928581.9560679451
2026-01-16,928442.5294872415
2026-01-19,928442.5294872415
2026-01-20,922135.4706486941
2026-01-21,921997.0120077762
2026-01-22,921997.0120077762
2026-01-23,921997.0120077762
2026-01-26,921997.0120077762
2026-01-27,921267.8398123275
2026-01-28,921129.5114461797
2026-01-29,921129.5114461797
2026-01-30,921129.5114461797
2026-02-02,922795.9806272334
2026-02-03,922657.4228107422
2026-02-04,917921.8848290073
2026-02-05,917784.0588580002
2026-02-06,917784.0588580002
2026-02-09,917784.0588580002
2026-02-10,917784.0588580002
2026-02-11,917784.0588580002
2026-02-12,917784.0588580002
2026-02-13,917784.0588580002
2026-02-24,921039.9378232595
2026-02-25,921039.9378232595
2026-02-26,921039.9378232595
2026-02-27,921039.9378232595
2026-03-02,921039.9378232595
2026-03-03,920901.6436765953
