date,action,stock,reason,price,exec_price,volume,amount,cost,capital_after,pnl
2025-10-21,买入,601939,"开仓-买入低估股(stock1), z=-1.57",1.301806273357755e-42,1.3031080796311126e-42,384081725701280955705502464078983356806175129600,500499.99999999994,150.14999999999998,499349.85000000003,
2025-10-22,卖出,601939,"平仓-止损, z=-3.01",1.3144179595366784e-42,1.3131035415771418e-42,384081725701280955705502464078983356806175129600,504339.0742734123,655.6407965554359,1003033.2834768569,3183.4334768569174
2025-10-23,买入,601939,"开仓-买入低估股(stock1), z=-2.78",1.3116153626080288e-42,1.3129269779706367e-42,382365635563468734144855015297776452537365299200,502018.1583801668,150.60544751405004,500864.51964917604,
2025-10-27,卖出,601939,"平仓-价差回归, z=-0.08",1.3214244518583025e-42,1.3201030274064442e-42,382365635563468734144855015297776452537365299200,504762.0330835242,656.1906430085814,1004970.3620896917,2087.684060348832
2025-11-19,买入,002807,"开仓-买入低估股(stock2), z=1.70",6.782284567332115e-43,6.789066851899446e-43,740878941389661980488107182553118987445809971200,502987.6662258907,150.8962998677672,501831.7995639332,
2025-11-20,卖出,002807,"平仓-止损, z=2.74",6.838336505905107e-43,6.831498169399202e-43,740878941389661980488107182553118987445809971200,506131.3131849895,657.9707071404863,1007305.1420417822,2485.67625195834
2025-11-21,买入,002807,"开仓-买入低估股(stock2), z=3.07",6.726232628759122e-43,6.7329588613878805e-43,748788510328116082087784922477075337561348505600,504156.22359191196,151.24686707757357,502997.6715827926,
2025-11-24,卖出,002807,"平仓-止损, z=2.87",6.670180690186129e-43,6.663510509495943e-43,748788510328116082087784922477075337561348505600,498956.01079612126,648.6428140349576,1001305.0395648789,-5848.855609825616
2025-11-25,买入,002807,"开仓-买入低估股(stock2), z=2.79",6.6982066594726256e-43,6.7049048661320975e-43,747442629400535262974526735013664418003156992000,501153.1723022219,150.34595169066654,500001.52131096635,
2025-12-11,卖出,002807,"平仓-价差回归, z=-0.15",6.5300508437536476e-43,6.523520792909894e-43,747442629400535262974526735013664418003156992000,487595.75344016356,633.8744794722127,986963.4002716576,-14191.293341530532
2025-12-29,买入,002807,"开仓-买入低估股(stock2), z=1.60",6.417946966607662e-43,6.4243649135742694e-43,768908971519078689806909672056985488224524697600,493975.1818359646,148.19255455078937,492840.02588114224,
2026-01-07,卖出,002807,"平仓-价差回归, z=0.09",6.43195995125091e-43,6.4255279912996594e-43,768908971519078689806909672056985488224524697600,494064.6119257273,642.2839955034455,986262.353811366,-552.85390574081
2026-01-22,买入,601939,"开仓-买入低估股(stock1), z=-1.68",1.217728365498266e-42,1.2189460938637642e-42,404959916248567645509726040596770700452377395200,493624.30808258866,148.0872924247766,492489.9584363526,
2026-01-29,卖出,601939,"平仓-止损, z=-2.30",1.2289387532128646e-42,1.2277098144596518e-42,404959916248567645509726040596770700452377395200,497173.2636411251,646.3252427334626,989016.8968347443,2902.630315803024
2026-01-30,买入,601939,"开仓-买入低估股(stock1), z=-1.61",1.2219322608912405e-42,1.2231541931521317e-42,404693831437671176866054146272761541589309849600,495002.9568657894,148.5008870597368,493865.4390818951,
2026-03-03,卖出,601939,"平仓-价差回归, z=-0.04",1.2471556332490872e-42,1.2459084776158381e-42,404693831437671176866054146272761541589309849600,504211.4754270295,655.4749180551383,997421.4395908695,8553.043643184903
