date,value
2024-10-08,1000000.0
2024-10-09,1000000.0
2024-10-10,999849.85
2024-10-11,999849.85
2024-10-14,999849.85
2024-10-15,999849.85
2024-10-16,999849.85
2024-10-17,999849.85
2024-10-18,999849.85
2024-10-21,999849.85
2024-10-22,999849.85
2024-10-23,999849.85
2024-10-24,999849.85
2024-10-25,999849.85
2024-10-28,999849.85
2024-10-29,999849.85
2024-10-30,999849.85
2024-10-31,997226.1823242188
2024-11-01,997226.1823242188
2024-11-04,997226.1823242188
2024-11-05,997226.1823242188
2024-11-06,997226.1823242188
2024-11-07,997226.1823242188
2024-11-08,997226.1823242188
2024-11-11,997226.1823242188
2024-11-12,997226.1823242188
2024-11-13,997226.1823242188
2024-11-14,997226.1823242188
2024-11-15,997226.1823242188
2024-11-18,997226.1823242188
2024-11-19,997226.1823242188
2024-11-20,997076.4488129428
2024-11-21,997076.4488129428
2024-11-22,997076.4488129428
2024-11-25,997076.4488129428
2024-11-26,971006.129001461
2024-11-27,970860.3324311913
2024-11-28,970860.3324311913
2024-11-29,970860.3324311913
2024-12-02,970860.3324311913
2024-12-03,970860.3324311913
2024-12-04,979280.6042710752
2024-12-05,979133.5652883439
2024-12-06,978349.1962488135
2024-12-09,978202.2971169967
2024-12-10,978202.2971169967
2024-12-11,978202.2971169967
2024-12-12,978202.2971169967
2024-12-13,978202.2971169967
2024-12-16,973307.6475762096
2024-12-17,973307.6475762096
2024-12-18,973307.6475762096
2024-12-19,973307.6475762096
2024-12-20,973307.6475762096
2024-12-23,973307.6475762096
2024-12-24,973307.6475762096
2024-12-25,973307.6475762096
2024-12-26,973307.6475762096
2024-12-27,973307.6475762096
2024-12-30,973307.6475762096
2024-12-31,973307.6475762096
2025-01-02,973307.6475762096
2025-01-03,973307.6475762096
2025-01-06,973307.6475762096
2025-01-07,973307.6475762096
2025-01-08,973307.6475762096
2025-01-09,973307.6475762096
2025-01-10,973307.6475762096
2025-01-13,973307.6475762096
2025-01-14,973307.6475762096
2025-01-15,973307.6475762096
2025-01-16,973307.6475762096
2025-01-17,973307.6475762096
2025-01-20,973307.6475762096
2025-01-21,973307.6475762096
2025-01-22,973307.6475762096
2025-01-23,973307.6475762096
2025-01-24,973307.6475762096
2025-01-27,973307.6475762096
2025-02-05,973307.6475762096
2025-02-06,973307.6475762096
2025-02-07,973307.6475762096
2025-02-10,973307.6475762096
2025-02-11,973307.6475762096
2025-02-12,973307.6475762096
2025-02-13,973307.6475762096
2025-02-14,973307.6475762096
2025-02-17,973307.6475762096
2025-02-18,973307.6475762096
2025-02-19,973161.5054329261
2025-02-20,973161.5054329261
2025-02-21,973161.5054329261
2025-02-24,973161.5054329261
2025-02-25,963170.4265327321
2025-02-26,963170.4265327321
2025-02-27,963170.4265327321
2025-02-28,963170.4265327321
2025-03-03,963025.8064931883
2025-03-04,963025.8064931883
2025-03-05,963025.8064931883
2025-03-06,965696.7598017524
2025-03-07,965551.7604332682
2025-03-10,963109.3615753816
2025-03-11,962964.7507047411
2025-03-12,963086.024681515
2025-03-13,962941.4173149089
2025-03-14,963053.6101037052
2025-03-17,962909.0076041481
2025-03-18,962994.5321336654
2025-03-19,962849.9385046655
2025-03-20,962849.9385046655
2025-03-21,962849.9385046655
2025-03-24,962849.9385046655
2025-03-25,962849.9385046655
2025-03-26,967956.9607316459
2025-03-27,967811.621993992
2025-03-28,967811.621993992
2025-03-31,962867.6978547574
2025-04-01,962723.1232699245
2025-04-02,959455.5517788355
