date,action,stock,reason,price,exec_price,volume,amount,cost,capital_after,pnl
2022-09-28,买入,600928,"开仓-买入低估股(stock2), z=2.36",4.75040179406113e-43,4.75515219585519e-43,1052542546243333318162221642448448888294185369600,500499.99999999994,150.14999999999998,499349.85000000003,
2022-09-29,卖出,600928,"平仓-止损, z=2.46",4.666323886201641e-43,4.661657562315439e-43,1052542546243333318162221642448448888294185369600,490659.2920353982,637.8570796460176,989371.2849557522,-10478.565044247742
2022-09-30,买入,600928,"开仓-买入低估股(stock2), z=2.18",4.680336870844889e-43,4.685017207715733e-43,1056944523714541897083630400273082930290701107200,495180.32812035386,148.55409843610616,494042.40273696225,
2022-10-10,卖出,600928,"平仓-止损, z=2.21",4.666323886201641e-43,4.661657562315439e-43,1056944523714541897083630400273082930290701107200,492711.3431921784,640.5247461498319,986113.2211829908,-3109.5096743253
2022-10-11,买入,600928,"开仓-买入低估股(stock2), z=1.82",4.708362840131385e-43,4.713071202971516e-43,1047193318214483216310888526968839580706196684800,493549.6672020868,148.06490016062602,492415.48908074334,
2022-10-12,卖出,600928,"平仓-止损, z=2.04",4.736388809417882e-43,4.7316524206084635e-43,1047193318214483216310888526968839580706196684800,495495.4798974569,644.1441238666939,987266.8248543335,1301.6685715033468
2022-10-13,买入,600928,"开仓-买入低估股(stock2), z=1.94",4.708362840131385e-43,4.713071202971516e-43,1048418376382802443237827417924074077008429056000,494127.04583959386,148.23811375187813,492991.5409009878,
2022-11-01,卖出,600928,"平仓-价差回归, z=-0.09",4.610271947628648e-43,4.6056616756810194e-43,1048418376382802443237827417924074077008429056000,482866.0336185992,627.7258437041789,975229.8486758828,-11888.738064698866
2022-11-14,买入,601229,"开仓-买入低估股(stock1), z=-1.59",8.127531093083939e-43,8.135658624177022e-43,599954548008894878850127021421466338485652684800,488102.5392622793,146.43076177868377,486980.87865182484,
2022-11-21,卖出,601229,"平仓-止损, z=-2.29",8.029440200581202e-43,8.021410760380621e-43,599954548008894878850127021421466338485652684800,481248.1867137841,625.6226427279194,967603.442722881,-7479.975191223075
2022-11-22,买入,601229,"开仓-买入低估股(stock1), z=-1.73",8.141544077727187e-43,8.149685621804913e-43,594238287900419558941577584336847109534987059200,484285.5230828018,145.2856569248405,483172.6339831544,
2022-12-08,卖出,601229,"平仓-价差回归, z=-0.21",8.547920632381384e-43,8.539372711749003e-43,594238287900419558941577584336847109534987059200,507442.22199732903,659.6748885965278,989955.181091887,22497.02402593073
2022-12-22,买入,600928,"开仓-买入低估股(stock2), z=1.62",4.764414778704378e-43,4.769179193483082e-43,1038905329482136977594657439073165413113764249600,495472.56813648937,148.6417704409468,494333.9711849566,
2022-12-26,卖出,600928,"平仓-止损, z=2.19",4.708362840131385e-43,4.703654477291254e-43,1038905329482136977594657439073165413113764249600,488665.1704500399,635.2647215850518,982363.8769134115,-7442.662408034539
2022-12-30,买入,601229,"开仓-买入低估股(stock1), z=-1.83",8.281673924159669e-43,8.289955598083827e-43,593094998613514385753164603024266287444603699200,491673.1203951623,147.50193611854868,490543.2545821307,
2023-01-09,卖出,601229,"轮动-卖出高估股, z从-1.83到1.64",8.379764816662406e-43,8.371385051845744e-43,593094998613514385753164603024266287444603699200,496502.66057176463,645.453458743294,986400.4616951521,4184.086717859058
2023-01-09,买入,600928,"轮动-买入低估股, z=1.64",4.862505671207115e-43,4.867368176878322e-43,1009989953115528265422444797393250721464739430400,491599.29567613505,147.4797887028405,494653.6862303142,
2023-01-18,卖出,600928,"平仓-价差回归, z=0.19",4.918557609780108e-43,4.913639052170328e-43,1009989953115528265422444797393250721464739430400,496272.6075928138,645.154389870658,990281.1394332573,4028.157526808077
2023-02-23,买入,601229,"开仓-买入低估股(stock1), z=-1.94",8.407790785948902e-43,8.41619857673485e-43,588906863077643873062580398311288707273562521600,495635.71028634516,148.69071308590352,494496.73843382625,
2023-02-24,卖出,601229,"平仓-止损, z=-2.24",8.35173884737591e-43,8.343387108528534e-43,588906863077643873062580398311288707273562521600,491347.7929525992,638.7521308383789,985205.779255587,-4926.669464584311
2023-03-03,买入,601229,"开仓-买入低估股(stock1), z=-2.18",8.533907647738136e-43,8.542441555385873e-43,577230162267288071145066600040218761588270694400,493095.49251742125,147.92864775522636,491962.35809041053,
2023-03-07,卖出,601229,"平仓-止损, z=-8.78",8.547920632381384e-43,8.539372711749003e-43,577230162267288071145066600040218761588270694400,492918.3496063729,640.7938544882848,984239.9138422951,-817.9367655366523
2023-03-08,买入,601229,"开仓-买入低估股(stock1), z=-3.24",8.547920632381384e-43,8.556468553013764e-43,575718912336282178636906321181858105800418918400,492612.0768780686,147.78362306342058,491480.05334116303,
2023-03-15,卖出,601229,"平仓-价差回归, z=0.26",8.449829739878647e-43,8.441379910138769e-43,575718912336282178636906321181858105800418918400,485986.2060482435,631.7820678627165,976834.4773215438,-7257.652897687818
2023-03-28,买入,600928,"开仓-买入低估股(stock2), z=1.58",4.848492686563867e-43,4.85334117925043e-43,1007358926237576426752461423694691510429679616000,488905.65589943266,146.6716967698298,487782.14972534135,
2023-03-29,卖出,600928,"平仓-止损, z=2.20",4.778427763347626e-43,4.7736493355842785e-43,1007358926237576426752461423694691510429679616000,480877.8268928899,625.1411749607569,968034.8354432705,-8652.970181503497
2023-03-30,买入,600928,"开仓-买入低估股(stock2), z=2.12",4.778427763347626e-43,4.783206191110973e-43,1012921910077273762112377912271856610356232192000,484501.4351393568,145.35043054180704,483388.0498733719,
