date,value
2025-09-29,1000000.0
2025-09-30,1000000.0
2025-10-09,1000000.0
2025-10-10,999849.85
2025-10-13,999849.85
2025-10-14,1003830.868510158
2025-10-15,1003680.1433052513
2025-10-16,1003680.1433052513
2025-10-17,1003680.1433052513
2025-10-20,1003680.1433052513
2025-10-21,1035625.3668939561
2025-10-22,1035625.3668939561
2025-10-23,1035469.8677451169
2025-10-24,1035469.8677451169
2025-10-27,1035469.8677451169
2025-10-28,1035469.8677451169
2025-10-29,1035469.8677451169
2025-10-30,1035469.8677451169
2025-10-31,1035469.8677451169
2025-11-03,1011409.4193097043
2025-11-04,1011409.4193097043
2025-11-05,1011257.556185395
2025-11-06,1011257.556185395
2025-11-07,1011257.556185395
2025-11-10,1011257.556185395
2025-11-11,1011257.556185395
2025-11-12,1011257.556185395
2025-11-13,1011257.556185395
2025-11-14,1011257.556185395
2025-11-17,1011257.556185395
2025-11-18,1011257.556185395
2025-11-19,1011257.556185395
2025-11-20,1011257.556185395
2025-11-21,1011257.556185395
2025-11-24,1011257.556185395
2025-11-25,1011257.556185395
2025-11-26,1011257.556185395
2025-11-27,1011257.556185395
2025-11-28,1011257.556185395
2025-12-01,1011257.556185395
2025-12-02,1011257.556185395
2025-12-03,1002336.5932699742
2025-12-04,1002336.5932699742
2025-12-05,1002336.5932699742
2025-12-08,1002336.5932699742
2025-12-09,1002336.5932699742
2025-12-10,1002336.5932699742
2025-12-11,1002336.5932699742
2025-12-12,1002336.5932699742
2025-12-15,1002336.5932699742
2025-12-16,1002336.5932699742
2025-12-17,1002186.0924304947
2025-12-18,1002186.0924304947
2025-12-19,1002186.0924304947
2025-12-22,1002186.0924304947
2025-12-23,1002186.0924304947
2025-12-24,1002186.0924304947
2025-12-25,1002186.0924304947
2025-12-26,1002186.0924304947
2025-12-29,1002186.0924304947
2025-12-30,1002186.0924304947
2025-12-31,999443.5285244775
2026-01-05,999293.4620786696
2026-01-06,996554.0604116532
2026-01-07,996404.4278194825
2026-01-08,994760.7613799425
2026-01-09,994611.3980516214
2026-01-12,994611.3980516214
2026-01-13,994611.3980516214
2026-01-14,997333.2129274999
2026-01-15,997183.4633455789
2026-01-16,994435.3625391396
2026-01-19,994286.0480694543
2026-01-20,994286.0480694543
2026-01-21,994286.0480694543
2026-01-22,994286.0480694543
2026-01-23,994286.0480694543
2026-01-26,994286.0480694543
2026-01-27,994286.0480694543
2026-01-28,994286.0480694543
2026-01-29,994286.0480694543
2026-01-30,994286.0480694543
2026-02-02,1006023.1721128519
2026-02-03,1005872.1177335591
2026-02-04,1005872.1177335591
2026-02-05,1005872.1177335591
2026-02-06,1018614.8622738097
2026-02-09,1018614.8622738097
2026-02-10,1018614.8622738097
2026-02-11,1018614.8622738097
2026-02-12,1018614.8622738097
2026-02-13,1018614.8622738097
2026-02-24,1018614.8622738097
2026-02-25,1018461.9172522393
2026-02-26,1018461.9172522393
2026-02-27,1018461.9172522393
2026-03-02,1018461.9172522393
2026-03-03,1018461.9172522393
