股票对,SSD距离,相关性,初始资金,最终资金,总收益率,年化收益率,交易次数,胜率,夏普比率
601860-600908,0.11449911822062915,0.9597262117667168,1000000,956329.8007359416,-0.04367019926405838,-0.10847390777777088,20,15.0,-2.1188521413876202
601658-000001,0.22160850624990758,0.9137622934445763,1000000,942713.5527353038,-0.05728644726469624,-0.14075035994812357,10,20.0,-2.36399039962345
