date,net_value,net_return,cumulative_return
2025-06-05,1083279.45851512,-0.45836027074244,-1.0
2025-06-09,1083279.45851512,-0.45836027074244,-1.0
2025-06-10,1083279.45851512,-0.45836027074244,-1.0
2025-06-11,1083279.45851512,-0.45836027074244,-1.0
2025-06-12,1083279.45851512,-0.45836027074244,-1.0
2025-06-13,1083279.45851512,-0.45836027074244,-1.0
2025-06-16,1093054.62719917,-0.45347268640041505,-1.0
2025-06-17,1088665.62719917,-0.45566718640041504,-1.0
2025-06-18,1117540.62719917,-0.44122968640041504,-1.0
2025-06-19,1110841.62719917,-0.44457918640041505,-1.0
2025-06-20,1112920.62719917,-0.443539686400415,-1.0
2025-06-23,1121005.62719917,-0.439497186400415,-1.0
2025-06-24,1129783.62719917,-0.43510818640041504,-1.0
2025-06-25,1123546.62719917,-0.438226686400415,-1.0
2025-06-26,1123084.62719917,-0.43845768640041505,-1.0
2025-06-27,1133248.62719917,-0.433375686400415,-1.0
2025-06-30,1154500.62719917,-0.42274968640041505,-1.0
2025-07-01,1146415.62719917,-0.42679218640041505,-1.0
2025-07-02,1130938.62719917,-0.43453068640041503,-1.0
2025-07-03,1164433.62719917,-0.417783186400415,-1.0
2025-07-04,1163266.71490339,-0.41836664254830497,-1.0
2025-07-07,1163266.71490339,-0.41836664254830497,-1.0
2025-07-08,1163266.71490339,-0.41836664254830497,-1.0
2025-07-09,1163266.71490339,-0.41836664254830497,-1.0
2025-07-10,1163266.71490339,-0.41836664254830497,-1.0
2025-07-11,1163266.71490339,-0.41836664254830497,-1.0
2025-07-14,1163266.71490339,-0.41836664254830497,-1.0
2025-07-15,1163266.71490339,-0.41836664254830497,-1.0
2025-07-16,1163266.71490339,-0.41836664254830497,-1.0
2025-07-17,1163266.71490339,-0.41836664254830497,-1.0
2025-07-18,1163266.71490339,-0.41836664254830497,-1.0
2025-07-21,1163266.71490339,-0.41836664254830497,-1.0
2025-07-22,1163266.71490339,-0.41836664254830497,-1.0
2025-07-23,1163266.71490339,-0.41836664254830497,-1.0
2025-07-24,1163266.71490339,-0.41836664254830497,-1.0
2025-07-25,1163266.71490339,-0.41836664254830497,-1.0
2025-07-28,1163266.71490339,-0.41836664254830497,-1.0
2025-07-29,1163266.71490339,-0.41836664254830497,-1.0
2025-07-30,1163266.71490339,-0.41836664254830497,-1.0
2025-07-31,1163266.71490339,-0.41836664254830497,-1.0
2025-08-01,1163266.71490339,-0.41836664254830497,-1.0
2025-08-04,1163266.71490339,-0.41836664254830497,-1.0
2025-08-05,1163266.71490339,-0.41836664254830497,-1.0
2025-08-06,1165471.09186933,-0.41726445406533497,-1.0
2025-08-07,1146565.09186933,-0.42671745406533496,-1.0
2025-08-08,1160779.09186933,-0.419610454065335,-1.0
2025-08-11,1224121.09186933,-0.387939454065335,-1.0
2025-08-12,1233505.09186933,-0.383247454065335,-1.0
2025-08-13,1247995.09186933,-0.376002454065335,-1.0
2025-08-14,1205491.09186933,-0.397254454065335,-1.0
2025-08-15,1204309.65831397,-0.39784517084301496,-1.0
2025-08-18,1204309.65831397,-0.39784517084301496,-1.0
2025-08-19,1204309.65831397,-0.39784517084301496,-1.0
2025-08-20,1204309.65831397,-0.39784517084301496,-1.0
2025-08-21,1204309.65831397,-0.39784517084301496,-1.0
2025-08-22,1204309.65831397,-0.39784517084301496,-1.0
2025-08-25,1204309.65831397,-0.39784517084301496,-1.0
2025-08-26,1204309.65831397,-0.39784517084301496,-1.0
2025-08-27,1204309.65831397,-0.39784517084301496,-1.0
2025-08-28,1204309.65831397,-0.39784517084301496,-1.0
2025-08-29,1204309.65831397,-0.39784517084301496,-1.0
2025-09-01,1204309.65831397,-0.39784517084301496,-1.0
2025-09-02,1204309.65831397,-0.39784517084301496,-1.0
2025-09-03,1204309.65831397,-0.39784517084301496,-1.0
2025-09-04,1204309.65831397,-0.39784517084301496,-1.0
2025-09-05,1204309.65831397,-0.39784517084301496,-1.0
2025-09-08,1204309.65831397,-0.39784517084301496,-1.0
2025-09-09,1204309.65831397,-0.39784517084301496,-1.0
2025-09-10,1204309.65831397,-0.39784517084301496,-1.0
2025-09-11,1303237.54310641,-0.34838122844679503,-1.0
2025-09-12,1356965.5431064102,-0.3215172284467949,-1.0
2025-09-15,1326329.5431064102,-0.3368352284467949,-1.0
2025-09-16,1348501.5431064102,-0.3257492284467949,-1.0
2025-09-17,1324949.5431064102,-0.3375252284467949,-1.0
2025-09-18,1323604.02155725,-0.33819798922137495,-1.0
2025-09-19,1323604.02155725,-0.33819798922137495,-1.0
2025-09-22,1323604.02155725,-0.33819798922137495,-1.0
2025-09-23,1323604.02155725,-0.33819798922137495,-1.0
2025-09-24,1323604.02155725,-0.33819798922137495,-1.0
2025-09-25,1323604.02155725,-0.33819798922137495,-1.0
2025-09-26,1323604.02155725,-0.33819798922137495,-1.0
2025-09-29,1323604.02155725,-0.33819798922137495,-1.0
2025-09-30,1323604.02155725,-0.33819798922137495,-1.0
2025-10-09,1323604.02155725,-0.33819798922137495,-1.0
2025-10-10,1323604.02155725,-0.33819798922137495,-1.0
2025-10-13,1323604.02155725,-0.33819798922137495,-1.0
2025-10-14,1323604.02155725,-0.33819798922137495,-1.0
2025-10-15,1323604.02155725,-0.33819798922137495,-1.0
2025-10-16,1323604.02155725,-0.33819798922137495,-1.0
2025-10-17,1323604.02155725,-0.33819798922137495,-1.0
2025-10-20,1332123.55164746,-0.33393822417626995,-1.0
2025-10-21,1353454.55164746,-0.32327272417626995,-1.0
2025-10-22,1353968.55164746,-0.32301572417626995,-1.0
2025-10-23,1365790.55164746,-0.31710472417626995,-1.0
2025-10-24,1418218.55164746,-0.29089072417626993,-1.0
2025-10-27,1419246.55164746,-0.29037672417627,-1.0
2025-10-28,1417825.3797425702,-0.2910873101287149,-1.0
2025-10-29,1417825.3797425702,-0.2910873101287149,-1.0
2025-10-30,1417825.3797425702,-0.2910873101287149,-1.0
